Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Oliver Bjorkstrand,Bjorkstrand,191,1,0,1
Kristers Gudlevskis,Gudlevskis,119,0,0,2
Shea Theodore,Theodore,363,2,0,3
Mackenzie Skapski,Skapski,119,0,0,4
Anthony Duclair,Duclair,1383,6,0,5
Nathan MacKinnon,MacKinnon,3871,17,0,6
Max Domi,Domi,1326,5,0,7
Andre Burakovsky,Burakovsky,1713,7,0,8
Sean Monahan,Monahan,4340,18,0,9
Ryan Pulock,Pulock,235,1,0,10
Marko Dano,Dano,880,3,0,11
Aleksander Barkov,Barkov,3447,13,0,12
Kerby Rychel,Rychel,357,1,0,13
Mattias Janmark,Janmark,1034,3,0,14
Jonathan Drouin,Drouin,1229,3,0,15
Sven Andrighetto,Andrighetto,734,2,0,16
Brett Pesce,Pesce,1295,3,0,17
Andrew Copp,Copp,629,1,0,18
Seth Jones,Jones,4929,12,0,19
Valeri Nichushkin,Nichushkin,2393,6,0,20
Bo Horvat,Horvat,2238,5,0,21
Rasmus Ristolainen,Ristolainen,4330,9,0,22
Elias Lindholm,Lindholm,3658,7,0,23
Nikita Zadorov,Zadorov,1554,2,0,24
Chris Bigras,Bigras,413,0,0,25
Hunter Shinkaruk,Shinkaruk,119,0,0,26
Nic Petan,Petan,305,0,0,27
Alexander Wennberg,Wennberg,2156,3,0,28
Darnell Nurse,Nurse,1429,1,0,29
Curtis Lazar,Lazar,1917,1,0,30
Anthony Mantha,Mantha,117,0,0,31
Nick Paul,Paul,292,0,0,32
Mirco Mueller,Mueller,778,0,0,33
Jacob De La Rose,Rose,728,0,0,34
Michael McCarron,McCarron,233,0,0,35
Samuel Morin,Morin,,,,36
Josh Morrissey,Morrissey,,,,36
Frederik Gauthier,Gauthier,,,,36
Emile Poirier,Poirier,,,,36
Morgan Klimchuk,Klimchuk,,,,36
Jason Dickinson,Dickinson,,,,36
Ryan Hartman,Hartman,,,,36
Ian McCoshen,McCoshen,,,,36
Adam Erne,Erne,,,,36
J.T. Compher,Compher,,,,36
Zachary Fucale,Fucale,,,,36
Valentin Zykov,Zykov,,,,36
Connor Hurley,Hurley,,,,36
Laurent Dauphin,Dauphin,,,,36
Remi Elie,Elie,,,,36
Robert Hagg,Hagg,,,,36
Steven Santini,Santini,,,,36
Tristan Jarry,Jarry,,,,36
Nick Sorensen,Sorensen,,,,36
Gustav Olofsson,Olofsson,,,,36
Thomas Vannelli,Vannelli,,,,36
Zach Nastasiuk,Nastasiuk,,,,36
Gabryel Boudreau,Boudreau,,,,36
Dillon Heatherington,Heatherington,,,,36
Carl Dahlstrom,Dahlstrom,,,,36
Justin Bailey,Bailey,,,,36
Madison Bowey,Bowey,,,,36
Philippe Desrosiers,Desrosiers,,,,36
Artturi Lehkonen,Lehkonen,,,,36
Marc-Olivier Roy,Roy,,,,36
William Carrier,Carrier,,,,36
Tyler Bertuzzi,Bertuzzi,,,,36
Eric Comrie,Comrie,,,,36
Linus Arnesson,Arnesson,,,,36
Zachary Sanford,Sanford,,,,36
Pavel Laplante,Laplante,,,,36
Spencer Martin,Martin,,,,36
Jonathan Diaby,Diaby,,,,36
Adam Tambellini,Tambellini,,,,36
Keegan Kanzig,Kanzig,,,,36
Niklas Hansson,Hansson,,,,36
Nicholas Baptiste,Baptiste,,,,36
Eamon McAdam,McAdam,,,,36
Connor Crisp,Crisp,,,,36
Tyrell Goulbourne,Goulbourne,,,,36
Ryan Kujawinski,Kujawinski,,,,36
John Hayden,Hayden,,,,36
Pavel Buchnevich,Buchnevich,,,,36
Taylor Cammarata,Cammarata,,,,36
Jake Guentzel,Guentzel,,,,36
Marcus Hogberg,Hogberg,,,,36
Kurtis Gabriel,Gabriel,,,,36
Carter Verhaeghe,Verhaeghe,,,,36
Bogdan Yakimov,Yakimov,,,,36
Jimmy Lodge,Lodge,,,,36
Cole Cassels,Cassels,,,,36
Keaton Thompson,Thompson,,,,36
Anton Slepyshev,Slepyshev,,,,36
Peter Cehlarik,Cehlarik,,,,36
J.C. Lipon,Lipon,,,,36
Evan Cowley,Cowley,,,,36
Mason Geertsen,Geertsen,,,,36
Jackson Houck,Houck,,,,36
Felix Girard,Girard,,,,36
Kyle Platzer,Platzer,,,,36
Michael Downing,Downing,,,,36
Matt Buckles,Buckles,,,,36
Juuse Saros,Saros,,,,36
Miles Wood,Wood,,,,36
Tobias Lindberg,Lindberg,,,,36
Justin Auger,Auger,,,,36
Nick Moutrey,Moutrey,,,,36
Stephon Williams,Williams,,,,36
Dylan Labbe,Labbe,,,,36
Ben Harpur,Harpur,,,,36
David Pope,Pope,,,,36
Ryan Graves,Graves,,,,36
Robin Norell,Norell,,,,36
Zach Pochiro,Pochiro,,,,36
Aidan Muir,Muir,,,,36
Jan Kostalek,Kostalek,,,,36
Jordan Subban,Subban,,,,36
Martin Reway,Reway,,,,36
Fredrik Bergvik,Bergvik,,,,36
Hudson Fasching,Fasching,,,,36
Ryan Segalla,Segalla,,,,36
Ryan Fitzgerald,Fitzgerald,,,,36
Tyler Motte,Motte,,,,36
Christopher Clapperton,Clapperton,,,,36
Will Butcher,Butcher,,,,36
Saku Maenalanen,Maenalanen,,,,36
Brent Pedersen,Pedersen,,,,36
Tucker Poolman,Poolman,,,,36
Evan Campbell,Campbell,,,,36
Calvin Petersen,Petersen,,,,36
Gustav Possler,Possler,,,,36
Cole Ully,Ully,,,,36
Terrance Amorosa,Amorosa,,,,36
Connor Clifton,Clifton,,,,36
Luke Johnson,Johnson,,,,36
Eric Roy,Roy,,,,36
Victor CrusRydberg,CrusRydberg,,,,36
Carson Soucy,Soucy,,,,36
Vincent Dunn,Dunn,,,,36
Mitchell Wheaton,Wheaton,,,,36
Teemu Kivihalme,Kivihalme,,,,36
Michael Brodzinski,Brodzinski,,,,36
Fabrice Herzog,Herzog,,,,36
Anthony Florentino,Florentino,,,,36
Blake Heinrich,Heinrich,,,,36
Anton Cederholm,Cederholm,,,,36
Patrik Bartosak,Bartosak,,,,36
Grant Besse,Besse,,,,36
Jonny Brodzinski,Brodzinski,,,,36
Matej Paulovic,Paulovic,,,,36
Wiley Sherman,Sherman,,,,36
Gage Ausmus,Ausmus,,,,36
Joshua Brown,Brown,,,,36
Ben Storm,Storm,,,,36
Henri Ikonen,Ikonen,,,,36
Emil Pettersson,Pettersson,,,,36
Tyler Ganly,Ganly,,,,36
Tim Harrison,Harrison,,,,36
Ben Betker,Betker,,,,36
Sean Malone,Malone,,,,36
Myles Bell,Bell,,,,36
Chris Leblanc,Leblanc,,,,36
Merrick Madsen,Madsen,,,,36
Brendan Burke,Burke,,,,36
Dane Birks,Birks,,,,36
Markus Soberg,Soberg,,,,36
Alan Quine,Quine,,,,36
Avery Peterson,Peterson,,,,36
Quentin Shore,Shore,,,,36
Marc McNulty,McNulty,,,,36
Tommy Veilleux,Veilleux,,,,36
Antoine Bibeau,Bibeau,,,,36
Santeri Saari,Saari,,,,36
Brian Pinho,Pinho,,,,36
Mike Williamson,Williamson,,,,36
Jeremy Gregoire,Gregoire,,,,36
Miro Aaltonen,Aaltonen,,,,36
Zachary Leslie,Leslie,,,,36
Blaine Byron,Byron,,,,36
Anton Blidh,Blidh,,,,36
Anthony Louis,Louis,,,,36
Aleksi Makela,Makela,,,,36
Wilhelm Westlund,Westlund,,,,36
Saku Salminen,Salminen,,,,36
Wade Murphy,Murphy,,,,36
Joel Vermin,Vermin,,,,36
Rushan Rafikov,Rafikov,,,,36
Gregory Chase,Chase,,,,36
Eric Locke,Locke,,,,36
Brenden Kichton,Kichton,,,,36
Dominik Kubalik,Kubalik,,,,36
David Drake,Drake,,,,36
Jedd Soleway,Soleway,,,,36
Marcus Karlstrom,Karlstrom,,,,36
Peter Quenneville,Quenneville,,,,36
Kyle Burroughs,Burroughs,,,,36
Nolan De Jong,Jong,,,,36
John Gilmour,Gilmour,,,,36
Hampus Melen,Melen,,,,36
Alexandre Belanger,Belanger,,,,36
Jacob Jackson,Jackson,,,,36
Andreas Johnson,Johnson,,,,36
Janne Juvonen,Juvonen,,,,36
Tyler Lewington,Lewington,,,,36
Miles Liberati,Liberati,,,,36
MacKenzie Weegar,Weegar,,,,36
Emil Galimov,Galimov,,,,36
Anthony Brodeur,Brodeur,,,,36
Troy Josephs,Josephs,,,,36
Mitchell Dempsey,Dempsey,,,,36
Robin Press,Press,,,,36
