Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Nikita Kucherov,Kucherov,3310,21,0,1
Johnny Gaudreau,Gaudreau,2991,17,0,2
Ondrej Palat,Palat,4043,21,0,3
Brandon Saad,Saad,4813,22,0,4
Josh Leivo,Leivo,285,1,0,5
Mark Scheifele,Scheifele,3995,17,0,6
Dougie Hamilton,Hamilton,5099,21,0,7
Gabriel Landeskog,Landeskog,6671,28,0,8
Darren Dietz,Dietz,188,0,0,9
Ty Rattie,Rattie,242,1,0,10
Vincent Trocheck,Trocheck,2428,10,0,11
Jonathan Huberdeau,Huberdeau,4595,18,0,12
Boone Jenner,Jenner,2925,11,0,13
Vladislav Namestnikov,Namestnikov,1683,6,0,14
Ryan Nugent-Hopkins,Nugent-Hopkins,6096,22,0,15
Rickard Rakell,Rakell,2296,8,0,16
Adam Clendening,Clendening,778,2,0,17
Mika Zibanejad,Zibanejad,4428,15,0,18
Ryan Strome,Strome,2920,9,0,19
Adam Larsson,Larsson,5659,18,0,20
Sven Baertschi,Baertschi,1793,5,0,21
Andrew Shaw,Shaw,4863,15,0,22
Victor Rask,Rask,2665,8,0,23
Josh Manson,Manson,1849,5,0,24
Scott Wilson,Wilson,260,0,0,25
J.T. Miller,Miller,2665,8,0,26
John Gibson,Gibson,3815,11,0,27
Nathan Beaulieu,Beaulieu,2439,7,0,28
Nick Cousins,Cousins,483,1,0,29
Ryan Dzingel,Dzingel,323,0,0,30
Nathan Lieuwen,Lieuwen,363,1,0,31
Jonas Brodin,Brodin,6037,16,0,32
Nikita Nesterov,Nesterov,1282,3,0,33
Mike Reilly,Reilly,350,0,0,34
Reid Boucher,Boucher,940,2,0,35
Ryan Murphy,Murphy,2242,5,0,36
Xavier Ouellet,Ouellet,483,1,0,37
Shane Prince,Prince,717,1,0,38
Andy Andreoff,Andreoff,681,1,0,39
Sean Couturier,Couturier,6064,14,0,40
Alexey Marchenko,Marchenko,1324,3,0,41
Jean-Gabriel Pageau,Pageau,1099,2,0,42
Joel Edmundson,Edmundson,1000,2,0,43
Tomas Jurco,Jurco,1614,3,0,44
Jyrki Jokipakka,Jokipakka,1744,3,0,45
Connor Murphy,Murphy,3365,6,0,46
Oscar Klefbom,Klefbom,2245,4,0,47
Dylan DeMelo,DeMelo,612,1,0,48
Laurent Brossoit,Brossoit,359,0,0,49
Markus Granlund,Granlund,1374,2,0,50
Dmitrij Jaskin,Jaskin,1704,3,0,51
Joe Morrow,Morrow,775,1,0,52
Matt Nieto,Nieto,2909,4,0,53
Garret Sparks,Sparks,974,1,0,54
Joel Armia,Armia,537,0,0,55
Tobias Rieder,Rieder,2635,3,0,56
Matt Puempel,Puempel,399,0,0,57
Klas Dahlbeck,Dahlbeck,1523,1,0,58
Rocco Grimaldi,Grimaldi,325,0,0,59
Nicklas Jensen,Jensen,341,0,0,60
Adam Lowry,Lowry,2137,2,0,61
Anton Forsberg,Forsberg,433,0,0,62
Brett Ritchie,Ritchie,526,0,0,63
Michael Mersch,Mersch,176,0,0,64
Tyler Wotherspoon,Wotherspoon,364,0,0,65
William Karlsson,Karlsson,1428,1,0,66
Christopher Gibson,Gibson,194,0,0,67
Miikka Salomaki,Salomaki,742,0,0,68
Jamie Oleksiak,Oleksiak,1085,0,0,69
Iiro Pakarinen,Pakarinen,849,0,0,70
Stuart Percy,Percy,202,0,0,71
Max McCormick,McCormick,209,0,0,72
Phillip Danault,Danault,669,0,0,73
Frank Corrado,Corrado,966,0,0,74
Lucas Lessio,Lessio,492,0,0,75
Nick Shore,Shore,1220,0,0,76
Logan Shaw,Shaw,648,0,0,77
Fredrik Claesson,Claesson,308,0,0,78
Andrey Pedan,Pedan,142,0,0,79
Scott Mayfield,Mayfield,189,0,0,80
Scott Harrington,Harrington,354,0,0,81
John Persson,Persson,120,0,0,82
Kyle Rau,Rau,113,0,0,83
Brody Sutter,Sutter,101,0,0,84
Duncan Siemens,Siemens,,,,85
Mark McNeill,McNeill,,,,85
Stefan Noesen,Noesen,,,,85
Tyler Biggs,Biggs,,,,85
Zack Phillips,Phillips,,,,85
David Musil,Musil,,,,85
Magnus Hellberg,Hellberg,,,,85
Alexander Khokhlachev,Khokhlachev,,,,85
Johan Sundstrom,Sundstrom,,,,85
Alexander Ruuttu,Ruuttu,,,,85
Ryan Sproul,Sproul,,,,85
