Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Rasmus Bengtsson,Bengtsson,,,,85
Mario Lucia,Lucia,,,,85
Samu Perhonen,Perhonen,,,,85
Joseph Cramarossa,Cramarossa,,,,85
T.J. Tynan,Tynan,,,,85
forfeited pick,pick,,,,85
Michael Paliotta,Paliotta,,,,85
David Honzik,Honzik,,,,85
Steven Fogarty,Fogarty,,,,85
Keegan Lowe,Lowe,,,,85
Travis Ewanyk,Ewanyk,,,,85
Blake Coleman,Coleman,,,,85
Daniel Catenacci,Catenacci,,,,85
Brennan Serville,Serville,,,,85
Anthony Camara,Camara,,,,85
Andy Welinski,Welinski,,,,85
Harrison Ruopp,Ruopp,,,,85
Alan Quine,Quine,,,,85
Jonathan Racine,Racine,,,,85
Jordan Binnington,Binnington,,,,85
Justin Sefton,Sefton,,,,85
Alexandre Grenier,Grenier,,,,85
Dillon Simpson,Simpson,,,,85
Joachim Nermark,Nermark,,,,85
Josh Shalla,Shalla,,,,85
Robbie Russo,Russo,,,,85
Josiah Didier,Didier,,,,85
Tom Nilsson,Nilsson,,,,85
Joseph Labate,Labate,,,,85
Yannick Veilleux,Veilleux,,,,85
Gregory Hofmann,Hofmann,,,,85
Emil Molin,Molin,,,,85
Michael St. Croix,Croix,,,,85
Colin Jacobs,Jacobs,,,,85
Olivier Archambault,Archambault,,,,85
Maxim Shalunov,Shalunov,,,,85
Kale Kessy,Kessy,,,,85
Garrett Noonan,Noonan,,,,85
Magnus Nygren,Nygren,,,,85
Marek Tvrdon,Tvrdon,,,,85
Colin Suellentrop,Suellentrop,,,,85
Steffen Soberg,Soberg,,,,85
Marcel Noebels,Noebels,,,,85
Zachary Yuen,Yuen,,,,85
Ludwig Blomstrand,Blomstrand,,,,85
Brian Ferlin,Ferlin,,,,85
Martin Gernat,Gernat,,,,85
Garrett Meurs,Meurs,,,,85
Yaroslav Kosov,Kosov,,,,85
Brenden Kichton,Kichton,,,,85
Seth Ambroz,Ambroz,,,,85
Blake Pietila,Pietila,,,,85
Tony Cameranesi,Cameranesi,,,,85
Nick Seeler,Seeler,,,,85
Niklas Lundstrom,Lundstrom,,,,85
Sean Kuraly,Kuraly,,,,85
Shane McColgan,McColgan,,,,85
Troy Vance,Vance,,,,85
Samuel Noreau,Noreau,,,,85
Alex Lepkowski,Lepkowski,,,,85
Joel Lowry,Lowry,,,,85
Darian Dziurzynski,Dziurzynski,,,,85
Simon Karlsson,Karlsson,,,,85
Max Friberg,Friberg,,,,85
Dominik Uher,Uher,,,,85
Philippe Hudon,Hudon,,,,85
Mattias Backman,Backman,,,,85
Patrick Koudys,Koudys,,,,85
Austen Brassard,Brassard,,,,85
Rob O'Gara,O'Gara,,,,85
David Broll,Broll,,,,85
Gabriel Beaupre,Beaupre,,,,85
Eddie Wittchow,Wittchow,,,,85
Andrew Fritsch,Fritsch,,,,85
Darren Kramer,Kramer,,,,85
Jason Kasdorf,Kasdorf,,,,85
Lukas Sedlak,Sedlak,,,,85
Reece Scarlett,Scarlett,,,,85
Steve Michalek,Michalek,,,,85
Ryan Tesink,Tesink,,,,85
Matt Mahalak,Mahalak,,,,85
Matej Stransky,Stransky,,,,85
Daniil Sobchenko,Sobchenko,,,,85
Daniel Pribyl,Pribyl,,,,85
Sam Jardine,Jardine,,,,85
Chase Balisy,Balisy,,,,85
Peter Ceresnak,Ceresnak,,,,85
Dennis Robertson,Robertson,,,,85
Josh Archibald,Archibald,,,,85
Richard Nedomlel,Nedomlel,,,,85
Petr Placek,Placek,,,,85
Travis Boyd,Boyd,,,,85
Adam Wilcox,Wilcox,,,,85
Pathrik Westerholm,Westerholm,,,,85
Lars Volden,Volden,,,,85
Frans Tuohimaa,Tuohimaa,,,,85
Dillon Donnelly,Donnelly,,,,85
Mitchell Theoret,Theoret,,,,85
Jordan Fransoo,Fransoo,,,,85
Aaron Harstad,Harstad,,,,85
Patrick Daly,Daly,,,,85
Tyler Graovac,Graovac,,,,85
Teemu Eronen,Eronen,,,,85
Colin Blackwell,Blackwell,,,,85
Zac Larraza,Larraza,,,,85
Brad Navin,Navin,,,,85
Colin Sullivan,Sullivan,,,,85
Alex Broadhurst,Broadhurst,,,,85
Michael Schumacher,Schumacher,,,,85
Matthew Peca,Peca,,,,85
Brent Andrews,Andrews,,,,85
Max Everson,Everson,,,,85
Derek Mathers,Mathers,,,,85
Garrett Haar,Haar,,,,85
Henrik Tommernes,Tommernes,,,,85
Johan Mattsson,Mattsson,,,,85
