Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Shayne Gostisbehere,Gostisbehere,1310,8,0,1
Andreas Athanasiou,Athanasiou,333,2,0,2
Colton Parayko,Parayko,1531,8,0,3
Filip Forsberg,Forsberg,1646,8,0,4
Connor Brown,Brown,104,0,0,5
Alex Galchenyuk,Galchenyuk,4174,19,0,6
Olli Maatta,Maatta,3194,14,0,7
Hampus Lindholm,Lindholm,4973,21,0,8
Matt Dumba,Dumba,2396,10,0,9
Tomas Hertl,Hertl,3054,12,0,10
Tanner Pearson,Pearson,1970,7,0,11
Erik Gustafsson,Gustafsson,2257,9,0,12
Colin Miller,Miller,663,2,0,13
Matt Murray,Murray,748,2,0,14
Joonas Korpisalo,Korpisalo,1803,6,0,15
Jaccob Slavin,Slavin,1322,4,0,16
Phillip Di Giuseppe,Giuseppe,584,1,0,17
Jacob Trouba,Trouba,4760,15,0,18
Frederik Andersen,Andersen,6972,21,0,19
Connor Hellebuyck,Hellebuyck,1433,4,0,20
Andrei Vasilevskiy,Vasilevskiy,2122,6,0,21
Damon Severson,Severson,2427,6,0,22
Linus Ullmark,Ullmark,1130,3,0,23
Jake McCabe,McCabe,1601,4,0,24
Morgan Rielly,Rielly,4838,13,0,25
Cody Ceci,Ceci,3852,10,0,26
Ryan Murray,Murray,3411,9,0,27
Teuvo Teravainen,Teravainen,1673,4,0,28
Radek Faksa,Faksa,555,1,0,29
Nail Yakupov,Yakupov,3705,8,0,30
Marek Mazanec,Mazanec,1475,3,0,31
Colton Sissons,Sissons,519,1,0,32
Seth Griffith,Griffith,443,0,0,33
Derrick Pouliot,Pouliot,936,1,0,34
Ben Hutton,Hutton,1490,3,0,35
Chris Tierney,Tierney,1568,3,0,36
Adam Pelech,Pelech,158,0,0,37
Cedric Paquette,Paquette,1613,2,0,38
Zemgus Girgensons,Girgensons,3303,5,0,39
Joseph Blandisi,Blandisi,639,1,0,40
Scott Laughton,Laughton,1193,1,0,41
Mikhail Grigorenko,Grigorenko,1822,2,0,42
Tom Wilson,Wilson,2442,3,0,43
Petteri Lindbohm,Lindbohm,496,0,0,44
Connor Carrick,Carrick,838,1,0,45
Oskar Sundqvist,Sundqvist,185,0,0,46
Josh Anderson,Anderson,209,0,0,47
Jordan Martinook,Martinook,1324,1,0,48
