Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Brady Skjei,Skjei,124,0,0,49
Griffin Reinhart,Reinhart,637,0,0,50
Slater Koekkoek,Koekkoek,142,0,0,51
Brock McGinn,McGinn,234,0,0,52
Jujhar Khaira,Khaira,155,0,0,53
Stefan Matteau,Matteau,568,0,0,54
Brett Kulak,Kulak,118,0,0,55
Brendan Gaunce,Gaunce,255,0,0,56
Mark Jankowski,Jankowski,,,,57
Michael Matheson,Matheson,,,,57
Malcolm Subban,Subban,,,,57
Jordan Schmaltz,Schmaltz,,,,57
Henrik Samuelsson,Samuelsson,,,,57
Oscar Dansk,Dansk,,,,57
Mitchell Moroz,Moroz,,,,57
Sebastian Collberg,Collberg,,,,57
Ville Pokka,Pokka,,,,57
Matt Finn,Finn,,,,57
Nicolas Kerdiles,Kerdiles,,,,57
Pontus Aberg,Aberg,,,,57
Lukas Sutter,Sutter,,,,57
Dylan Blujus,Blujus,,,,57
Mitchell Heard,Heard,,,,57
Patrick Sieloff,Sieloff,,,,57
Ludwig Bystrom,Bystrom,,,,57
Anthony Stolarz,Stolarz,,,,57
Raphael Bussieres,Bussieres,,,,57
Dillon Fournier,Fournier,,,,57
Martin Frk,Frk,,,,57
Dalton Thrower,Thrower,,,,57
Teddy Blueger,Blueger,,,,57
Brian Hart,Hart,,,,57
Mike Winther,Winther,,,,57
Sam Kurker,Kurker,,,,57
Alexandre Mallet,Mallet,,,,57
Cristoval Nieves,Nieves,,,,57
Devin Shore,Shore,,,,57
Tim Bozon,Bozon,,,,57
Jimmy Vesey,Vesey,,,,57
Mackenzie MacEachern,MacEachern,,,,57
John Draeger,Draeger,,,,57
Daniel Altshuller,Altshuller,,,,57
Scott Kosmachuk,Kosmachuk,,,,57
Tanner Richard,Richard,,,,57
Troy Bourke,Bourke,,,,57
Justin Kea,Kea,,,,57
Esa Lindell,Lindell,,,,57
Jon Gillies,Gillies,,,,57
Chris Driedger,Driedger,,,,57
Chandler Stephenson,Stephenson,,,,57
Chris Calnan,Calnan,,,,57
Jake Paterson,Paterson,,,,57
Jarrod Maidens,Maidens,,,,57
Steven Hodges,Hodges,,,,57
Matthew Grzelcyk,Grzelcyk,,,,57
James Melindy,Melindy,,,,57
Brendan Leipsic,Leipsic,,,,57
Ben Johnson,Johnson,,,,57
Daniil Zharkov,Zharkov,,,,57
Matia Marcantuoni,Marcantuoni,,,,57
Brady Vail,Vail,,,,57
Ben Thomson,Thomson,,,,57
Kevin Roy,Roy,,,,57
Adam Gilmour,Gilmour,,,,57
Erik Karlsson (2012),(2012),,,,57
Thomas Di Pauli,Pauli,,,,57
Rhett Holland,Holland,,,,57
Loic Leduc,Leduc,,,,57
Gemel Smith,Smith,,,,57
Timothy Boyle,Boyle,,,,57
Austin Wuthrich,Wuthrich,,,,57
Andrew O'Brien,O'Brien,,,,57
Christophe Lalancette,Lalancette,,,,57
Fredric Larsson,Larsson,,,,57
Zach Stepan,Stepan,,,,57
Sean Maguire,Maguire,,,,57
Alexander Delnov,Delnov,,,,57
Trevor Carrick,Carrick,,,,57
Nicholas Walters,Walters,,,,57
Taylor Leier,Leier,,,,57
Mikko Vainonen,Vainonen,,,,57
Calle Andersson,Andersson,,,,57
Nikolay Prokhorkin,Prokhorkin,,,,57
Charles Hudon,Hudon,,,,57
Joey Laleggia,Laleggia,,,,57
Ryan Culkin,Culkin,,,,57
Doyle Somerby,Somerby,,,,57
Dominic Toninato,Toninato,,,,57
Brian Cooper,Cooper,,,,57
Daniel Gunnarsson,Gunnarsson,,,,57
Brendan Woods,Woods,,,,57
Michael Clarke,Clarke,,,,57
Logan Nelson,Nelson,,,,57
Branden Troock,Troock,,,,57
Graham Black,Black,,,,57
Robert Baillargeon,Baillargeon,,,,57
Daniel O'Regan,O'Regan,,,,57
Garret Ross,Ross,,,,57
Michael McKee,McKee,,,,57
Reece Willcox,Willcox,,,,57
Thomas Spelling,Spelling,,,,57
Clark Seymour,Seymour,,,,57
Henri Kiviaho,Kiviaho,,,,57
Cody Payne,Payne,,,,57
Francois Tremblay,Tremblay,,,,57
Niklas Tikkinen,Tikkinen,,,,57
Travis Brown,Brown,,,,57
Alexander Kerfoot,Kerfoot,,,,57
Daniel Zaar,Zaar,,,,57
John McCarron,McCarron,,,,57
Erik Nystrom,Nystrom,,,,57
Jesse Graham,Graham,,,,57
Ryan Rupert,Rupert,,,,57
Christoph Bertschy,Bertschy,,,,57
Collin Olson,Olson,,,,57
Ryan Olsen,Olsen,,,,57
Jake Dotchin,Dotchin,,,,57
Simon Fernholm,Fernholm,,,,57
Coda Gordon,Gordon,,,,57
Francois Brassard,Brassard,,,,57
Riley Barber,Barber,,,,57
Clifford Watson,Watson,,,,57
Vincent Hinostroza,Hinostroza,,,,57
James De Haas,Haas,,,,57
Tomas Hyka,Hyka,,,,57
Max Gortz,Gortz,,,,57
Anton Zlobin,Zlobin,,,,57
Francis Beauvillier,Beauvillier,,,,57
Matthew Benning,Benning,,,,57
Wesley Myron,Myron,,,,57
Hunter Fejes,Fejes,,,,57
Artur Gavrus,Gavrus,,,,57
Paul Ladue,Ladue,,,,57
Gianluca Curcuruto,Curcuruto,,,,57
Dmitry Sinitsyn,Sinitsyn,,,,57
Marek Langhamer,Langhamer,,,,57
Jake Bischoff,Bischoff,,,,57
Matthew Deblouw,Deblouw,,,,57
Kenton Helgesen,Helgesen,,,,57
Louis Nanne,Nanne,,,,57
Brendan Collier,Collier,,,,57
Jamie Phillips,Phillips,,,,57
Brandon Whitney,Whitney,,,,57
Colin Smith,Smith,,,,57
Brady Austin,Austin,,,,57
Jonatan Nielsen,Nielsen,,,,57
Christian Djoos,Djoos,,,,57
Mikael Wikstrand,Wikstrand,,,,57
Jaynen Rissling,Rissling,,,,57
Joakim Ryan,Ryan,,,,57
Matt Tomkins,Tomkins,,,,57
Rasmus Bodin,Bodin,,,,57
Valeri Vasiliev,Vasiliev,,,,57
Nikita Gusev,Gusev,,,,57
Sergey Kostenko,Kostenko,,,,57
Judd Peterson,Peterson,,,,57
Colton Hargrove,Hargrove,,,,57
Tyrel Seaman,Seaman,,,,57
Matthew Beattie,Beattie,,,,57
Justin Hache,Hache,,,,57
Viktor Loov,Loov,,,,57
Jaycob Megna,Megna,,,,57
Nick Ebert,Ebert,,,,57
Anton Slepyshev,Slepyshev,,,,57
