Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Troy Rutkowski,Rutkowski,,,,83
Luke Walker,Walker,,,,83
Caleb Herbert,Herbert,,,,83
Gregg Sutch,Sutch,,,,83
Adam Polasek,Polasek,,,,83
Daniel Brodin,Brodin,,,,83
Kevin Gravel,Gravel,,,,83
Michael Parks,Parks,,,,83
Yasin Cisse,Cisse,,,,83
Mirko Hoefflin,Hoefflin,,,,83
Joe Rogalski,Rogalski,,,,83
Corey Durocher,Durocher,,,,83
Kendall McFaull,McFaull,,,,83
Brendan O'Donnell,O'Donnell,,,,83
Maxim Kitsyn,Kitsyn,,,,83
Johan Gustafsson,Gustafsson,,,,83
Tanner Lane,Lane,,,,83
Andreas Dahlstrom,Dahlstrom,,,,83
Konrad Abeltshauser,Abeltshauser,,,,83
Stephen Macaulay,Macaulay,,,,83
Zane Gothberg,Gothberg,,,,83
Drew Czerwonka,Czerwonka,,,,83
Tyler Stahl,Stahl,,,,83
Sebastian Owuya,Owuya,,,,83
Reid McNeill,McNeill,,,,83
Brooks Macek,Macek,,,,83
Alex Friesen,Friesen,,,,83
Cedrick Henley,Henley,,,,83
Maxime Clermont,Clermont,,,,83
Jonathan Iilahti,Iilahti,,,,83
Samuel Carrier,Carrier,,,,83
Kevin Lind,Lind,,,,83
Nick Luukko,Luukko,,,,83
Nick Mattson,Mattson,,,,83
Kristians Pelss,Pelss,,,,83
Josh Nicholls,Nicholls,,,,83
R.J. Boyd,Boyd,,,,83
Martin Ouellette,Ouellette,,,,83
Cody Rosen,Rosen,,,,83
Teigan Zahn,Zahn,,,,83
Lee Moffie,Moffie,,,,83
Dylen McKinlay,McKinlay,,,,83
Randy McNaught,McNaught,,,,83
Mac Carruth,Carruth,,,,83
Brett Perlini,Perlini,,,,83
Patrick Holland,Holland,,,,83
David Elsner,Elsner,,,,83
Maxim Chudinov,Chudinov,,,,83
Bryce Aneloski,Aneloski,,,,83
Luke Moffatt,Moffatt,,,,83
Joonas Rask,Rask,,,,83
Peter Stoykewych,Stoykewych,,,,83
Chris Crane,Crane,,,,83
Ben Marshall,Marshall,,,,83
Kellen Jones,Jones,,,,83
Christian Isackson,Isackson,,,,83
Mauro Jorg,Jorg,,,,83
Sawyer Hannay,Hannay,,,,83
Ricard Blidstrand,Blidstrand,,,,83
John Westin,Westin,,,,83
Riley Boychuk,Boychuk,,,,83
Brendan Ranford,Ranford,,,,83
