Source Rank,Full Name
1,Nail Yakupov
2,Ryan Murray
3,Alex Galchenyuk
4,Griffin Reinhart
5,Morgan Rielly
6,Hampus Lindholm
7,Matt Dumba
8,Derrick Pouliot
9,Jacob Trouba
10,Slater Koekkoek
11,Filip Forsberg
12,Mikhail Grigorenko
13,Radek Faksa
14,Zemgus Girgensons
15,Cody Ceci
16,Tom Wilson
17,Tomas Hertl
18,Teuvo Teravainen
19,Andrei Vasilevskiy
20,Scott Laughton
21,Mark Jankowski
22,Olli Maatta
23,Michael Matheson
24,Malcolm Subban
25,Jordan Schmaltz
26,Brendan Gaunce
27,Henrik Samuelsson
28,Brady Skjei
29,Stefan Matteau
30,Tanner Pearson
31,Oscar Dansk
32,Mitchell Moroz
33,Sebastian Collberg
34,Ville Pokka
35,Matt Finn
36,Nicolas Kerdiles
37,Pontus Aberg
38,Phillip Di Giuseppe
39,Lukas Sutter
40,Dylan Blujus
41,Mitchell Heard
42,Patrick Sieloff
43,Ludwig Bystrom
44,Jake McCabe
45,Anthony Stolarz
46,Raphael Bussieres
47,Brock McGinn
48,Dillon Fournier
49,Martin Frk
50,Colton Sissons
51,Dalton Thrower
52,Teddy Blueger
53,Brian Hart
54,Mike Winther
55,Chris Tierney
56,Sam Kurker
57,Alexandre Mallet
58,Jordan Martinook
59,Cristoval Nieves
60,Damon Severson
61,Devin Shore
62,Joonas Korpisalo
63,Jujhar Khaira
64,Tim Bozon
65,Adam Pelech
66,Jimmy Vesey
67,Mackenzie MacEachern
68,John Draeger
69,Daniel Altshuller
70,Scott Kosmachuk
71,Tanner Richard
72,Troy Bourke
73,Justin Kea
74,Esa Lindell
75,Jon Gillies
76,Chris Driedger
77,Chandler Stephenson
78,Shayne Gostisbehere
79,Chris Calnan
80,Jake Paterson
81,Oskar Sundqvist
82,Jarrod Maidens
83,Matt Murray
84,Steven Hodges
85,Matthew Grzelcyk
86,Colton Parayko
87,Frederik Andersen
88,James Melindy
89,Brendan Leipsic
90,Ben Johnson
91,Daniil Zharkov
92,Matia Marcantuoni
93,Erik Gustafsson
94,Brady Vail
95,Josh Anderson
96,Ben Thomson
97,Kevin Roy
98,Adam Gilmour
99,Erik Karlsson (2012)
100,Thomas Di Pauli
101,Cedric Paquette
102,Rhett Holland
103,Loic Leduc
104,Gemel Smith
105,Brett Kulak
106,Timothy Boyle
107,Austin Wuthrich
108,Andrew O'Brien
109,Christophe Lalancette
110,Andreas Athanasiou
111,Fredric Larsson
112,Zach Stepan
113,Sean Maguire
114,Alexander Delnov
115,Trevor Carrick
116,Nicholas Walters
117,Taylor Leier
118,Mikko Vainonen
119,Calle Andersson
120,Jaccob Slavin
121,Nikolay Prokhorkin
122,Charles Hudon
123,Joey Laleggia
124,Ryan Culkin
125,Doyle Somerby
126,Dominic Toninato
127,Brian Cooper
128,Daniel Gunnarsson
129,Brendan Woods
130,Connor Hellebuyck
131,Seth Griffith
132,Michael Clarke
133,Logan Nelson
134,Branden Troock
135,Graham Black
136,Robert Baillargeon
137,Connor Carrick
138,Daniel O'Regan
139,Garret Ross
140,Michael McKee
141,Reece Willcox
142,Thomas Spelling
143,Clark Seymour
144,Henri Kiviaho
145,Cody Payne
146,Francois Tremblay
147,Ben Hutton
148,Niklas Tikkinen
149,Travis Brown
150,Alexander Kerfoot
151,Colin Miller
152,Daniel Zaar
153,John McCarron
154,Erik Nystrom
155,Jesse Graham
156,Connor Brown
157,Ryan Rupert
158,Christoph Bertschy
159,Collin Olson
160,Ryan Olsen
161,Jake Dotchin
162,Joseph Blandisi
163,Linus Ullmark
164,Simon Fernholm
165,Coda Gordon
166,Francois Brassard
167,Riley Barber
168,Clifford Watson
169,Vincent Hinostroza
170,James De Haas
171,Tomas Hyka
172,Max Gortz
173,Anton Zlobin
174,Francis Beauvillier
175,Matthew Benning
176,Petteri Lindbohm
177,Wesley Myron
178,Hunter Fejes
179,Marek Mazanec
180,Artur Gavrus
181,Paul Ladue
182,Gianluca Curcuruto
183,Dmitry Sinitsyn
184,Marek Langhamer
185,Jake Bischoff
186,Matthew Deblouw
187,Kenton Helgesen
188,Louis Nanne
189,Brendan Collier
190,Jamie Phillips
191,Brandon Whitney
192,Colin Smith
193,Brady Austin
194,Jonatan Nielsen
195,Christian Djoos
196,Mikael Wikstrand
197,Jaynen Rissling
198,Joakim Ryan
199,Matt Tomkins
200,Rasmus Bodin
201,Valeri Vasiliev
202,Nikita Gusev
203,Sergey Kostenko
204,Judd Peterson
205,Colton Hargrove
206,Tyrel Seaman
207,Matthew Beattie
208,Justin Hache
209,Viktor Loov
210,Jaycob Megna
211,Nick Ebert
212,Anton Slepyshev
