Source Rank,Full Name
1,Taylor Hall
2,Tyler Seguin
3,Erik Gudbranson
4,Ryan Johansen
5,Nino Niederreiter
6,Brett Connolly
7,Jeff Skinner
8,Alexander Burmistrov
9,Mikael Granlund
10,Dylan McIlrath
11,Jack Campbell
12,Cam Fowler
13,Brandon Gormley
14,Jaden Schwartz
15,Derek Forbort
16,Vladimir Tarasenko
17,Joey Hishon
18,Austin Watson
19,Nick Bjugstad
20,Beau Bennett
21,Riley Sheahan
22,Jarred Tinordi
23,Mark Pysyk
24,Kevin Hayes
25,Quinton Howden
26,Evgeny Kuznetsov
27,Mark Visentin
28,Charlie Coyle
29,Emerson Etem
30,Brock Nelson
