Source Rank,Full Name
1,Aaron Ekblad
2,Sam Reinhart
3,Leon Draisaitl
4,Sam Bennett
5,Michael Dal Colle
6,Jake Virtanen
7,Haydn Fleury
8,William Nylander
9,Nikolaj Ehlers
10,Nick Ritchie
11,Kevin Fiala
12,Brendan Perlini
13,Jakub Vrana
14,Julius Honka
15,Dylan Larkin
16,Sonny Milano
17,Travis Sanheim
18,Alex Tuch
19,Anthony Deangelo
20,Nick Schmaltz
21,Robby Fabbri
22,Kasperi Kapanen
23,Conner Bleackley
24,Jared McCann
25,David Pastrnak
26,Nikita Scherbak
27,Nikolay Goldobin
28,Josh Ho-Sang
29,Adrian Kempe
30,John Quenneville
31,Brendan Lemieux
32,Jayce Hawryluk
33,Ivan Barbashev
34,Mason McDonald
35,Dominik Masin
36,Thatcher Demko
37,Alex Nedeljkovic
38,Marcus Pettersson
39,Vitek Vanecek
40,Andreas Englund
41,Joshua Jacobs
42,Vladislav Kamenev
43,Ryan MacInnis
44,Eric Cornel
45,Brett Pollock
46,Julius Bergman
47,Ryan Collins
48,Nicolas Aube-Kubel
49,Vaclav Karabacek
50,Roland McKeown
51,Jack Dougherty
52,Maxim Letunov
53,Noah Rod
54,Hunter Smith
55,Brandon Montour
56,Ryan Donato
57,Johnathan McLeod
58,Christian Dvorak
59,Brandon Halverson
60,Alex Lintuniemi
61,Jonas Johansson
62,Justin Kirkland
63,Dominic Turgeon
64,Brandon Hickey
65,Juho Lammikko
66,Nikita Tryamkin
67,Warren Foegele
68,Rinat Valiev
69,Jack Glover
70,Miles Gendron
71,Connor Chatham
72,Alex Schoenborn
73,Brett Lernout
74,Brycen Martin
75,Alexander Peters
76,Elvis Merzlikins
77,Blake Siebenaler
78,Ilya Sorokin
79,Brayden Point
80,Louis Belpedio
81,Dylan Sadowy
82,Jake Walman
83,Matheson Iacopelli
84,Kyle Wood
85,Keegan Iverson
86,Mark Friedman
87,Anton Karlsson
88,Beau Starrett
89,Nathan Walker
90,Michael Amadio
91,William Lagesson
92,Joe Wegwerth
93,Nicholas Magyar
94,Ville Husso
95,Linus Soderstrom
96,Josh Wesley
97,Lucas Wallmark
98,Frederik Olofsson
99,Chase De Leo
100,Shane Eiserman
101,Nelson Nogier
102,Alexis Vanier
103,John Piccinich
104,Ryan Mantha
105,Michael Prapavessis
106,Christoffer Ehn
107,Julien Pelletier
108,Devon Toews
109,Kaapo Kahkonen
110,Austin Poganski
111,Zachary Nagelvoort
112,Viktor Arvidsson
113,Sam Lafferty
114,Alexis Pepin
115,Brent Moran
116,Danton Heinen
117,Michael Bunting
118,Igor Shesterkin
119,Ben Thomas
120,Steven Johnson
121,Maxwell Willman
122,Richard Nejezchleb
123,Matthew Berkovitz
124,Jaedon Descheneau
125,Nikolas Koberstein
126,Gustav Forsling
127,Clark Bishop
128,Dakota Joshua
129,Clinston Franklin
130,Liam Coughlin
131,Ryan Rehill
132,Joonas Lyytinen
133,Dysin Mayo
134,Shane Gersich
135,Miro Karjalainen
136,Chase Perry
137,Tyler Bird
138,Oskar Lindblom
139,Tanner Faith
140,Daniel Walcott
141,Luc Snuggerud
142,Tyler Nanne
143,Miguel Fidler
144,Anton Lindholm
145,Anthony Angello
146,Anders Bjork
147,Daniel Audette
148,Andreas Soderberg
149,Rourke Chartier
150,Alec Dillon
151,Christopher Brown
152,Joey Dudek
153,Tyler Vesel
154,Aaron Haydon
155,Kyle Schempp
156,Kyle Pettit
157,Jake Marchment
158,Nolan Vesey
159,Steven Spinner
160,Pontus Sjalin
161,Brandon Baddock
162,Aaron Irving
163,David Westlund
164,Pavel Kraskovsky
165,John Nyberg
166,Julius Vahatalo
167,Chase Lang
168,Radel Fazleev
169,Reid Duke
170,Cristiano Digiacinto
171,Kevin Labanc
172,Chandler Yakimowicz
173,Jaden Lindo
174,Maximilian Pajpach
175,Adam Ollas-Mattsson
176,Samuel Blais
177,Hayden Hawkey
178,Dylan Sikura
179,Ivan Nalimov
180,Matthew Mistele
181,Victor Olofsson
182,Hugo Fagerblom
183,Keven Bouchard
184,Austin Carroll
185,Cameron Darcy
186,Mackenze Stewart
187,Kyle Jenkins
188,Pierre Engvall
189,Kelly Summers
190,Francis Perron
191,Jared Fiegl
192,Matt Ustaski
193,Edgars Kulda
194,Kevin Elgestal
195,Patrick Sanvido
196,Axel Holmstrom
197,Olivier Leblanc
198,Jesper Pettersson
199,Pavel Jenys
200,Lukas Sutter
201,Alexander Kadeykin
202,Dwyer Tschantz
203,Jeff Taylor
204,Julien Nantel
205,Ondrej Kase
206,Emil Johansson
207,Jake Evans
208,Jack Ramsey
209,Spencer Watson
210,Jacob Middleton
