37,Nashville Predators,Pontus Aberg\abergpo01,SE,LW,18,,Djurgarden (Sweden),,,,,,,,,,,,
38,Carolina Hurricanes,Phillip Di Giuseppe\digiuph01,CA,LW,18,2016,Michigan (CCHA),41,7,10,17,0,18,,,,,,
39,Winnipeg Jets,Lukas Sutter\suttelu01,US,C,18,,Saskatoon (WHL),,,,,,,,,,,,
40,Tampa Bay Lightning,Dylan Blujus\blujudy01,US,D,18,,Brampton (OHL),,,,,,,,,,,,
41,Colorado Avalanche,Mitchell Heard\heardmi01,CA,C,20,,Plymouth (OHL),,,,,,,,,,,,
42,Calgary Flames,Patrick Sieloff\sielopa01,US,D,18,2016,USA U-18 (USHL),1,1,0,1,1,2,,,,,,
43,Dallas Stars,Ludwig Bystrom\bystrlu01,SE,D,18,,MODO Jr. (Sweden-Jr.),,,,,,,,,,,,
44,Buffalo Sabres,Jake McCabe\mccabja01,US,D,18,2016,Wisconsin (WCHA),86,4,11,15,3,66,,,,,,
45,Philadelphia Flyers,Anthony Stolarz\stolaan01,US,G,18,,Corpus Christi (NAHL),,,,,,,,,,,,
46,Minnesota Wild,Raphael Bussieres\bussira01,CA,LW,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
47,Carolina Hurricanes,Brock McGinn\mcginbr01,CA,LW,18,2016,Guelph (OHL),21,3,1,4,-14,10,,,,,,
48,Chicago Blackhawks,Dillon Fournier\fourndi01,CA,D,18,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,
49,Detroit Red Wings,Martin Frk\frkma01,CZ,RW,18,,Halifax (QMJHL),,,,,,,,,,,,
50,Nashville Predators,Colton Sissons\sissoco01,CA,C,18,2016,Kelowna (WHL),51,5,5,10,5,16,,,,,,
51,Montreal Canadiens,Dalton Thrower\throwda01,CA,D,18,,Saskatoon (WHL),,,,,,,,,,,,
52,Pittsburgh Penguins,Teddy Blueger\bluegte01,LV,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
53,Tampa Bay Lightning,Brian Hart\hartbr01,US,RW,18,,Exeter (High-NH),,,,,,,,,,,,
54,Dallas Stars,Mike Winther\winthmi01,CA,C,18,,Prince Albert (WHL),,,,,,,,,,,,
55,San Jose Sharks,Chris Tierney\tiernch01,CA,C,18,2016,London (OHL),122,13,28,41,-13,26,,,,,,
56,St. Louis Blues,Sam Kurker\kurkesa01,US,RW,18,,St. John's Prep (High-MA),,,,,,,,,,,,
57,Vancouver Canucks,Alexandre Mallet\malleal01,CA,LW,20,,Rimouski (QMJHL),,,,,,,,,,,,
58,Phoenix Coyotes,Jordan Martinook\martijo01,CA,LW,20,2016,Vancouver (WCHL),89,9,16,25,-12,18,,,,,,
59,New York Rangers,Cristoval Nieves\nievecr01,US,C,18,,Kent School (High-CT),,,,,,,,,,,,
60,New Jersey Devils,Damon Severson\severda01,CA,D,18,2016,Kelowna (WHL),123,6,32,38,-21,54,,,,,,
61,Dallas Stars,Devin Shore\shorede01,CA,C,18,2016,Whitby (OJHL),3,0,0,0,2,0,,,,,,
,Round 3,Round 3,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
62,Columbus Blue Jackets,Joonas Korpisalo\korpijo01,FI,G,18,2016,Jokerit Jr. (Finland-Jr.),31,0,0,0,0,2,31,16,11,4,.920,2.60
63,Edmonton Oilers,Jujhar Khaira\khairju01,CA,LW,18,2016,Prince George (BCHL),15,0,2,2,-2,13,,,,,,
64,Montreal Canadiens,Tim Bozon\bozonti01,US,LW,18,,Kamloops (WHL),,,,,,,,,,,,
65,New York Islanders,Adam Pelech\pelecad01,CA,D,18,2016,Erie (OHL),9,0,2,2,-1,0,,,,,,
66,Nashville Predators,Jimmy Vesey\veseyji02,US,LW,19,,South Shore (EJHL),,,,,,,,,,,,
67,St. Louis Blues,Mackenzie MacEachern\maceama01,US,LW,18,,Brother Rice High (High-MI),,,,,,,,,,,,
68,Minnesota Wild,John Draeger\draegjo01,US,D,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
69,Carolina Hurricanes,Daniel Altshuller\altshda01,CA,G,18,,Oshawa (OHL),,,,,,,,,,,,
70,Winnipeg Jets,Scott Kosmachuk\kosmasc01,CA,RW,18,2016,Guelph (OHL),8,0,3,3,1,2,,,,,,
71,Tampa Bay Lightning,Tanner Richard\richata01,CA,C,19,,Guelph (OHL),,,,,,,,,,,,
72,Colorado Avalanche,Troy Bourke\bourktr01,CA,LW,18,,Prince George (WHL),,,,,,,,,,,,
73,Buffalo Sabres,Justin Kea\keaju01,CA,C,18,,Saginaw (OHL),,,,,,,,,,,,
74,Dallas Stars,Esa Lindell\lindees01,FI,D,18,2016,Jokerit Jr. (Finland-Jr.),4,0,0,0,-3,0,,,,,,
75,Calgary Flames,Jon Gillies\gillijo01,US,G,18,,Indiana (USHL),,,,,,,,,,,,
76,Ottawa Senators,Chris Driedger\driedch01,CA,G,18,2016,Calgary (WHL),2,0,0,0,0,0,2,0,0,0,1.000,0.00
77,Washington Capitals,Chandler Stephenson\stephch02,CA,C/LW,18,2016,Regina (WHL),9,0,0,0,-3,2,,,,,,
78,Philadelphia Flyers,Shayne Gostisbehere\gostish01,US,D,19,2016,Union College (ECAC),66,17,29,46,6,24,,,,,,
79,Chicago Blackhawks,Chris Calnan\calnach01,US,RW,18,,Nobles (High-MA),,,,,,,,,,,,
80,Detroit Red Wings,Jake Paterson\paterja01,CA,G,18,,Saginaw (OHL),,,,,,,,,,,,
81,Pittsburgh Penguins,Oskar Sundqvist\sundqos01,SE,C,18,2016,Skelleftea Jr. (Sweden-Jr.),18,1,3,4,0,4,,,,,,
