202,Tampa Bay Lightning,Nikita Gusev\gusevni01,RU,LW,20,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
203,Washington Capitals,Sergey Kostenko\kostese01,RU,G,19,,Novokuznetsk 2 (Russia-Jr.),,,,,,,,,,,,
204,Buffalo Sabres,Judd Peterson\peterju02,US,C/RW,18,,Duluth Marshall (High-MN),,,,,,,,,,,,
205,Boston Bruins,Colton Hargrove\hargrco01,US,LW,20,,Fargo (USHL),,,,,,,,,,,,
206,St. Louis Blues,Tyrel Seaman\seamaty01,CA,C,18,,Brandon (WHL),,,,,,,,,,,,
207,Vancouver Canucks,Matthew Beattie\beattma01,US,LW,19,,Exeter (High-NH),,,,,,,,,,,,
208,Phoenix Coyotes,Justin Hache\hacheju01,CA,D,18,,Shawinigan (QMJHL),,,,,,,,,,,,
209,Toronto Maple Leafs,Viktor Loov\loovvi01,SE,D,19,2016,Sodertalje (Sweden-2),4,0,2,2,4,0,,,,,,
210,Anaheim Ducks,Jaycob Megna\megnaja02,US,D,19,,Nebraska-Omaha (WCHA),,,,,,,,,,,,
211,Los Angeles Kings,Nick Ebert\ebertni01,US,D,18,,Windsor (OHL),,,,,,,,,,,,
212,Not Drafted,Anton Slepyshev\aslepy01,RU,F,18,,Russia,,,,,,,,,,,,
