,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Florida Panthers,Aaron Ekblad\ekblaaa01,CA,D,18,2016,BARRIE (OHL),159,27,48,75,30,73,,,,,,
2,Buffalo Sabres,Sam Reinhart\reinhsa01,CA,C,18,2016,KOOTENAY (WHL),88,23,20,43,-9,10,,,,,,
3,Edmonton Oilers,Leon Draisaitl\draisle01,DE,C,18,2016,PRINCE ALBERT (WHL),109,21,39,60,-19,24,,,,,,
4,Calgary Flames,Sam Bennett\bennesa01,CA,C,18,2016,KINGSTON (OHL),78,18,19,37,-12,37,,,,,,
5,New York Islanders,Michael Dal Colle\dalcomi01,CA,LW,18,,OSHAWA (OHL),,,,,,,,,,,,
6,Vancouver Canucks,Jake Virtanen\virtaja01,CA,RW,18,2016,CALGARY (WHL),55,7,6,13,-7,45,,,,,,
7,Carolina Hurricanes,Haydn Fleury\fleurha01,CA,D,18,,RED DEER (WHL),,,,,,,,,,,,
8,Toronto Maple Leafs,William Nylander\nylanwi01,CA,C/RW,18,2016,MODO (Sweden),22,6,7,13,1,4,,,,,,
9,Winnipeg Jets,Nikolaj Ehlers\ehlerni01,DK,LW,18,2016,HALIFAX (QMJHL),72,15,23,38,3,21,,,,,,
10,Anaheim Ducks,Nick Ritchie\ritchni01,CA,LW,18,2016,PETERBOROUGH (OHL),33,2,2,4,-2,37,,,,,,
11,Nashville Predators,Kevin Fiala\fialake01,CH,LW,18,2016,HV 71 JR. (Sweden-Jr.),6,1,0,1,-1,0,,,,,,
12,Arizona Coyotes,Brendan Perlini\perlibr01,GB,LW,18,,NIAGARA (OHL),,,,,,,,,,,,
13,Washington Capitals,Jakub Vrana\vranaja01,CZ,L/RW,18,,LINKOPING (Sweden),,,,,,,,,,,,
14,Dallas Stars,Julius Honka\honkaju01,FI,D,18,,SWIFT CURRENT (WHL),,,,,,,,,,,,
15,Detroit Red Wings,Dylan Larkin\larkidy01,US,C,18,2016,USA U-18 (USHL),80,23,22,45,11,34,,,,,,
16,Columbus Blue Jackets,Sonny Milano\milanso01,US,LW,18,2016,USA U-18 (USHL),3,0,1,1,1,0,,,,,,
17,Philadelphia Flyers,Travis Sanheim\sanhetr01,CA,D,18,,CALGARY (WHL),,,,,,,,,,,,
18,Minnesota Wild,Alex Tuch\tuchal01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
19,Tampa Bay Lightning,Anthony Deangelo\deangan01,US,D,18,,SARNIA (OHL),,,,,,,,,,,,
20,Chicago Blackhawks,Nick Schmaltz\schmani01,US,C,18,,GREEN BAY (USHL),,,,,,,,,,,,
21,St. Louis Blues,Robby Fabbri\fabbrro01,CA,C,18,2016,GUELPH (OHL),72,18,19,37,-2,25,,,,,,
22,Pittsburgh Penguins,Kasperi Kapanen\kapanka01,FI,RW,18,2016,KALPA (Finland),9,0,0,0,-3,2,,,,,,
23,Colorado Avalanche,Conner Bleackley\bleacco01,CA,C,18,,RED DEER (WHL),,,,,,,,,,,,
24,Vancouver Canucks,Jared McCann\mccanja01,CA,C,18,2016,SAULT STE. MARIE (OHL),69,9,9,18,-6,32,,,,,,
25,Boston Bruins,David Pastrnak\pastrda01,CZ,RW,18,2016,SODERTALJE (Sweden-2),97,25,28,53,15,28,,,,,,
26,Montreal Canadiens,Nikita Scherbak\scherni01,RU,RW,18,,SASKATOON (WHL),,,,,,,,,,,,
27,San Jose Sharks,Nikolay Goldobin\goldoni01,RU,RW,18,2016,SARNIA (OHL),9,1,1,2,1,0,,,,,,
28,New York Islanders,Josh Ho-Sang\hosanjo01,CA,C/RW,18,,WINDSOR (OHL),,,,,,,,,,,,
29,Los Angeles Kings,Adrian Kempe\kempead01,SE,LW,18,,MODO (Sweden),,,,,,,,,,,,
30,New Jersey Devils,John Quenneville\quennjo02,CA,C,18,,BRANDON (WHL),,,,,,,,,,,,
,Round 2,Round 2,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
31,Buffalo Sabres,Brendan Lemieux\lemiebr01,US,LW,18,,BARRIE (OHL),,,,,,,,,,,,
32,Florida Panthers,Jayce Hawryluk\hawryja01,CA,C,18,,BRANDON (WHL),,,,,,,,,,,,
33,St. Louis Blues,Ivan Barbashev\barbaiv01,RU,C/LW,18,,MONCTON (QMJHL),,,,,,,,,,,,
34,Calgary Flames,Mason McDonald\mcdonma01,CA,G,18,,CHARLOTTETOWN (QMJHL),,,,,,,,,,,,
35,Tampa Bay Lightning,Dominik Masin\masindo01,CZ,D,18,,SLAVIA JR. (Czech),,,,,,,,,,,,
36,Vancouver Canucks,Thatcher Demko\demkoth01,US,G,18,,BOSTON COLLEGE (H-East),,,,,,,,,,,,
37,Carolina Hurricanes,Alex Nedeljkovic\nedelal01,US,G,18,,PLYMOUTH (OHL),,,,,,,,,,,,
38,Anaheim Ducks,Marcus Pettersson\pettema01,SE,D,18,,SKELLEFTEA JR. (Sweden-Jr.),,,,,,,,,,,,
39,Washington Capitals,Vitek Vanecek\vanecvi01,CZ,G,18,,LIBEREC JR. (Czech),,,,,,,,,,,,
