,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Colorado Avalanche,Nathan MacKinnon\mackina01,CA,C,18,2016,Halifax (QMJHL),218,59,94,153,9,80,,,,,,
2,Florida Panthers,Aleksander Barkov\barkoal01,FI,C,18,2016,Tappara (Finland),191,52,67,119,11,34,,,,,,
3,Tampa Bay Lightning,Jonathan Drouin\drouijo01,CA,LW,18,2016,Halifax (QMJHL),91,8,34,42,4,38,,,,,,
4,Nashville Predators,Seth Jones\jonesse01,US,D,18,2016,Portland (WHL),240,17,66,83,-34,66,,,,,,
5,Carolina Hurricanes,Elias Lindholm\lindhel01,SE,C,18,2016,Brynas (Sweden),221,37,62,99,-60,42,,,,,,
6,Calgary Flames,Sean Monahan\monahse01,CA,C,18,2016,Ottawa (OHL),237,80,79,159,-18,38,,,,,,
7,Edmonton Oilers,Darnell Nurse\nurseda01,CA,D,18,2016,Sault Ste. Marie (OHL),71,3,7,10,-15,60,,,,,,
8,Buffalo Sabres,Rasmus Ristolainen\ristora01,FI,D,18,2016,TPS (Finland),194,19,46,65,-68,65,,,,,,
9,Vancouver Canucks,Bo Horvat\horvabo01,CA,C,18,2016,London (OHL),150,29,36,65,-38,34,,,,,,
10,Dallas Stars,Valeri Nichushkin\nichuva01,RU,RW,18,2016,Chelyabinsk (KHL),166,23,41,64,17,22,,,,,,
11,Philadelphia Flyers,Samuel Morin\morinsa01,CA,D,18,,Rimouski (QMJHL),,,,,,,,,,,,
12,Phoenix Coyotes,Max Domi\domima01,CA,C/LW,18,2016,London (OHL),81,18,34,52,3,72,,,,,,
13,Winnipeg Jets,Josh Morrissey\morrijo04,CA,D,18,2016,Prince Albert (WHL),1,0,0,0,0,0,,,,,,
14,Columbus Blue Jackets,Alexander Wennberg\wennbal01,SE,C,18,2016,Djurgarden (Sweden-2),137,12,48,60,-20,24,,,,,,
15,New York Islanders,Ryan Pulock\pulocry01,CA,D,18,2016,Brandon (WHL),15,2,2,4,1,5,,,,,,
16,Buffalo Sabres,Nikita Zadorov\zadorni01,RU,D,18,2016,London (OHL),89,4,14,18,-19,67,,,,,,
17,Ottawa Senators,Curtis Lazar\lazarcu01,CA,C/RW,18,2016,Edmonton (WHL),143,12,23,35,0,32,,,,,,
18,San Jose Sharks,Mirco Mueller\muellmi01,CH,D,18,2016,Everett (WHL),50,1,3,4,-12,17,,,,,,
19,Columbus Blue Jackets,Kerby Rychel\rycheke01,US,LW,18,2016,Windsor (OHL),37,2,10,12,8,17,,,,,,
20,Detroit Red Wings,Anthony Mantha\manthan01,CA,RW,18,2016,Val-D'Or (QMJHL),10,2,1,3,-6,2,,,,,,
21,Toronto Maple Leafs,Frederik Gauthier\gauthfr01,CA,C,18,2016,Rimouski (QMJHL),7,0,1,1,-5,0,,,,,,
22,Calgary Flames,Emile Poirier\poiriem01,CA,LW,18,2016,Gatineau (QMJHL),8,0,1,1,0,2,,,,,,
23,Washington Capitals,Andre Burakovsky\burakan01,AT,LW,18,2016,Malmo (Sweden-2),132,26,34,60,16,22,,,,,,
24,Vancouver Canucks,Hunter Shinkaruk\shinkhu01,CA,C/LW,18,2016,Medicine Hat (WHL),8,2,1,3,-4,2,,,,,,
25,Montreal Canadiens,Michael McCarron\mccarmi01,US,RW,18,2016,USA U-18 (USHL),20,1,1,2,-10,37,,,,,,
26,Anaheim Ducks,Shea Theodore\theodsh01,CA,D,18,2016,Seattle (WHL),19,3,5,8,7,2,,,,,,
27,Columbus Blue Jackets,Marko Dano\danoma01,AT,C,18,2016,Bratislava (KHL),69,13,18,31,5,24,,,,,,
28,Calgary Flames,Morgan Klimchuk\klimcmo01,CA,LW,18,,Regina (WHL),,,,,,,,,,,,
29,Dallas Stars,Jason Dickinson\dickija01,CA,C,18,2016,Guelph (OHL),1,1,0,1,1,0,,,,,,
30,Chicago Blackhawks,Ryan Hartman\hartmry01,US,RW,18,2016,Plymouth (OHL),8,0,1,1,-2,2,,,,,,
,Round 2,Round 2,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
31,Florida Panthers,Ian McCoshen\mccosia01,US,D,18,,Waterloo (USHL),,,,,,,,,,,,
32,Colorado Avalanche,Chris Bigras\bigrach01,CA,D,18,2016,Owen Sound (OHL),31,1,2,3,-2,16,,,,,,
33,Tampa Bay Lightning,Adam Erne\ernead01,US,LW,18,,Quebec (QMJHL),,,,,,,,,,,,
34,Montreal Canadiens,Jacob De La Rose\delarja01,SE,LW,18,2016,Leksand (Sweden-2),55,4,3,7,-11,18,,,,,,
35,Buffalo Sabres,J.T. Compher\comphj.01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
36,Montreal Canadiens,Zachary Fucale\fucalza01,CA,G,18,,Halifax (QMJHL),,,,,,,,,,,,
37,Los Angeles Kings,Valentin Zykov\zykovva01,RU,LW,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
38,Buffalo Sabres,Connor Hurley\hurleco01,US,C,18,,Edina High (High-MN),,,,,,,,,,,,
