Source Rank,Full Name
1,Taylor Hall
2,Tyler Seguin
3,Erik Gudbranson
4,Ryan Johansen
5,Nino Niederreiter
6,Brett Connolly
7,Jeff Skinner
8,Alexander Burmistrov
9,Mikael Granlund
10,Dylan McIlrath
11,Jack Campbell
12,Cam Fowler
13,Brandon Gormley
14,Jaden Schwartz
15,Derek Forbort
16,Vladimir Tarasenko
17,Joey Hishon
18,Austin Watson
19,Nick Bjugstad
20,Beau Bennett
21,Riley Sheahan
22,Jarred Tinordi
23,Mark Pysyk
24,Kevin Hayes
25,Quinton Howden
26,Evgeny Kuznetsov
27,Mark Visentin
28,Charlie Coyle
29,Emerson Etem
30,Brock Nelson
31,Tyler Pitlick
32,Jared Knight
33,John McFarland
34,Dalton Smith
35,Ludvig Rensfeldt
36,Alex Petrovic
37,Justin Faulk
38,Jon Merrill
39,Brett Bulmer
40,Christian Thomas
41,Patrik Nemeth
42,Devante Smith-Pelly
43,Brad Ross
44,Sebastian Wannstrom
45,Ryan Spooner
46,Martin Marincin
47,Tyler Toffoli
48,Curtis Hamilton
49,Calvin Pickard
50,Connor Brickley
51,Calle Jarnkrok
52,Phil Lane
53,Mark Alt
54,Justin Holl
55,Petr Straka
56,Johan Larsson
57,Oscar Lindberg
58,Kent Simpson
59,Jason Zucker
60,Stephen Johns
61,Ryan Martindale
62,Greg McKegg
63,Brock Beukeboom
64,Max Reinhart
65,Kirill Kabanov
66,Radko Gudas
67,Danny Biega
68,Jerome Gauthier-Leduc
69,Joe Basaraba
70,Jordan Weal
71,Michael Bournival
72,Adam Janosik
73,Joey Leach
74,Max Gardiner
75,Kevin Sundher
76,Jakub Culek
77,Alexander Guptill
78,Taylor Aronson
79,Sondre Olden
80,Bryan Rust
81,Louis-Marc Aubry
82,Jason Clark
83,Matt MacKenzie
84,Scott Wedgewood
85,Austin Levi
86,Stanislav Galiev
87,Julian Melchiori
88,Max Gaede
89,Michael Chaput
90,Joakim Nordstrom
91,Jeremie Blain
92,Sam Brittain
93,Ben Gallacher
94,Brandon Archibald
95,Stephen Silas
96,Geoffrey Schemitsch
97,Craig Cunningham
98,Steven Shipley
99,Joonas Donskoi
100,Andrew Yogan
101,Ivan Telegin
102,Mathieu Corbeil
103,John Ramage
104,Jani Hakanpaa
105,Justin Shugg
106,Marcus Sorensen
107,Sami Aittokallio
108,Bill Arnold
109,Alex Theriau
110,Tom Kuhnhackl
111,Teemu Pulkkinen
112,Philipp Grubauer
113,Mark MacMillan
114,Joe Faust
115,Patrick McNally
116,Petter Granberg
117,Morgan Ellis
118,Jimmy Mullin
119,Tye McGinn
120,Rob Flick
121,Tyler Bunz
122,Chris Wagner
123,Zach Hyman
124,Austin Madaisky
125,Tony Dehart
126,Patrick Cehlin
127,Cody Ferriero
128,Fredrik Pettersson-Wentzel
129,Freddie Hamilton
130,Jason Wilson
131,John Klingberg
132,Tim Heed
133,Micheal Ferland
134,Cody Beach
135,Justin Florek
136,Isaac MacLeod
137,Troy Rutkowski
138,Louis Domingue
139,Luke Walker
140,Kenny Agostino
141,Petr Mrazek
142,Caleb Herbert
143,Gregg Sutch
144,Sam Carrick
145,Adam Polasek
146,Daniel Brodin
147,Brendan Gallagher
148,Kevin Gravel
149,Michael Parks
150,Yasin Cisse
151,Mirko Hoefflin
152,Joe Rogalski
153,Corey Durocher
154,Dalton Prout
155,Kendall McFaull
156,Brendan O'Donnell
157,Jesper Fast
158,Maxim Kitsyn
159,Johan Gustafsson
160,Tanner Lane
161,Andreas Dahlstrom
162,Brandon Davidson
163,Konrad Abeltshauser
164,Stephen Macaulay
165,Zane Gothberg
166,Drew Czerwonka
167,Tyler Stahl
168,Anthony Bitetto
169,Sebastian Owuya
170,Reid McNeill
171,Brooks Macek
172,Alex Friesen
173,Cedrick Henley
174,Maxime Clermont
175,Jonathan Iilahti
176,Samuel Carrier
177,Kevin Lind
178,Mark Stone
179,Nick Luukko
180,Nick Mattson
181,Kristians Pelss
182,Josh Nicholls
183,R.J. Boyd
184,Martin Ouellette
185,Cody Rosen
186,Teigan Zahn
187,Frederik Andersen
188,Lee Moffie
189,Dylen McKinlay
190,Randy McNaught
191,Mac Carruth
192,Brett Perlini
193,Patrick Holland
194,David Elsner
195,Maxim Chudinov
196,Bryce Aneloski
197,Luke Moffatt
198,Joonas Rask
199,Peter Stoykewych
200,Chris Crane
201,Ben Marshall
202,Kellen Jones
203,Christian Isackson
204,Mauro Jorg
205,Sawyer Hannay
206,Ricard Blidstrand
207,John Westin
208,Riley Boychuk
209,Brendan Ranford
210,Zach Trotman
