Source Rank,Full Name
1,Nathan MacKinnon
2,Aleksander Barkov
3,Jonathan Drouin
4,Seth Jones
5,Elias Lindholm
6,Sean Monahan
7,Darnell Nurse
8,Rasmus Ristolainen
9,Bo Horvat
10,Valeri Nichushkin
11,Samuel Morin
12,Max Domi
13,Josh Morrissey
14,Alexander Wennberg
15,Ryan Pulock
16,Nikita Zadorov
17,Curtis Lazar
18,Mirco Mueller
19,Kerby Rychel
20,Anthony Mantha
21,Frederik Gauthier
22,Emile Poirier
23,Andre Burakovsky
24,Hunter Shinkaruk
25,Michael McCarron
26,Shea Theodore
27,Marko Dano
28,Morgan Klimchuk
29,Jason Dickinson
30,Ryan Hartman
