Source Rank,Full Name
1,Nail Yakupov
2,Ryan Murray
3,Alex Galchenyuk
4,Griffin Reinhart
5,Morgan Rielly
6,Hampus Lindholm
7,Matt Dumba
8,Derrick Pouliot
9,Jacob Trouba
10,Slater Koekkoek
11,Filip Forsberg
12,Mikhail Grigorenko
13,Radek Faksa
14,Zemgus Girgensons
15,Cody Ceci
16,Tom Wilson
17,Tomas Hertl
18,Teuvo Teravainen
19,Andrei Vasilevskiy
20,Scott Laughton
21,Mark Jankowski
22,Olli Maatta
23,Michael Matheson
24,Malcolm Subban
25,Jordan Schmaltz
26,Brendan Gaunce
27,Henrik Samuelsson
28,Brady Skjei
29,Stefan Matteau
30,Tanner Pearson
