Source Rank,Full Name
1,Aaron Ekblad
2,Sam Reinhart
3,Leon Draisaitl
4,Sam Bennett
5,Michael Dal Colle
6,Jake Virtanen
7,Haydn Fleury
8,William Nylander
9,Nikolaj Ehlers
10,Nick Ritchie
11,Kevin Fiala
12,Brendan Perlini
13,Jakub Vrana
14,Julius Honka
15,Dylan Larkin
16,Sonny Milano
17,Travis Sanheim
18,Alex Tuch
19,Anthony Deangelo
20,Nick Schmaltz
21,Robby Fabbri
22,Kasperi Kapanen
23,Conner Bleackley
24,Jared McCann
25,David Pastrnak
26,Nikita Scherbak
27,Nikolay Goldobin
28,Josh Ho-Sang
29,Adrian Kempe
30,John Quenneville
