"Team","Game.ID","CF","GF","xGF","CA","GA","xGA","TOI"
"PIT","20021",39,2,2.21,40,1,2.33,51
"NYI","20022",30,0,1.32,29,2,1.78,45
"WSH","20022",29,2,1.78,30,0,1.32,45
"CBJ","20023",37,1,1.99,30,2,1.99,48
"S.J","20023",30,2,1.99,37,1,1.99,48
"MIN","20024",34,3,1.84,17,2,0.93,45
"WPG","20024",17,2,0.93,34,3,1.84,45
"NYR","20025",38,2,2.76,18,2,1.34,44
"STL","20025",18,2,1.34,38,2,2.76,44
"CHI","20026",28,3,1.3,37,2,2.52,52
"NSH","20026",37,2,2.52,28,3,1.3,52
"COL","20027",35,4,1.87,31,3,1.48,51
"DAL","20027",31,3,1.48,35,4,1.87,51
"ARI","20028",28,1,1.78,37,3,2.37,45
"PHI","20028",37,3,2.37,28,1,1.78,45
"CGY","20029",26,0,1.04,36,1,1.92,52
"VAN","20029",36,1,1.92,26,0,1.04,52
"ANA","20030",22,1,0.41,33,3,2.42,44
"NYI","20030",33,3,2.42,22,1,0.41,44
"BUF","20031",22,4,1.37,35,2,2.68,49
"EDM","20031",35,2,2.68,22,4,1.37,49
"CAR","20032",19,2,1.36,34,4,2.02,53
"VAN","20032",34,4,2.02,19,2,1.36,53
"NYR","20033",25,4,1.85,32,3,1.86,45
"S.J","20033",32,3,1.86,25,4,1.85,45
"COL","20034",26,2,1.78,41,1,2.55,47
"PIT","20034",41,1,2.55,26,2,1.78,47
"DET","20035",26,3,2.09,36,0,1.52,48
"OTT","20035",36,0,1.52,26,3,2.09,48
"BOS","20036",26,2,1.9,22,1,1.09,43
"WPG","20036",22,1,1.09,26,2,1.9,43
"ANA","20037",17,0,1.13,20,0,1.06,37
"N.J","20037",20,0,1.06,17,0,1.13,37
"NYI","20038",29,2,1.53,33,3,2.26,54
"S.J","20038",33,3,2.26,29,2,1.53,54
"COL","20039",24,0,0.95,33,1,1.77,47
"WSH","20039",33,1,1.77,24,0,0.95,47
"MTL","20040",33,3,2.59,43,0,3.09,45
"PIT","20040",43,0,3.09,33,3,2.59,45
"ARI","20041",37,3,2.43,44,4,3.43,46
"OTT","20041",44,4,3.43,37,3,2.43,46
"FLA","20042",41,2,2.14,30,2,1.86,51
"T.B","20042",30,2,1.86,41,2,2.14,51
"DAL","20043",43,2,1.9,24,0,1.18,48
"NSH","20043",24,0,1.18,43,2,1.9,48
"L.A","20044",36,3,1.58,23,4,1.34,42
"MIN","20044",23,4,1.34,36,3,1.58,42
"CHI","20045",26,4,1.77,26,2,1.35,49
"PHI","20045",26,2,1.35,26,4,1.77,49
"BUF","20046",20,2,1.6,40,4,2.92,44
"CGY","20046",40,4,2.92,20,2,1.6,44
"CAR","20047",38,2,2.35,33,3,1.46,48
"EDM","20047",33,3,1.46,38,2,2.35,48
"STL","20048",26,1,1.81,29,2,2.96,46
"VAN","20048",29,2,2.96,26,1,1.81,46
"DET","20049",23,1,1.23,41,1,2.16,45
"NYR","20049",41,1,2.16,23,1,1.23,45
"TOR","20050",41,2,3.24,42,4,1.81,55
"WPG","20050",42,4,1.81,41,2,3.24,55
"BOS","20051",41,2,1.85,31,0,1.32,48
"N.J","20051",31,0,1.32,41,2,1.85,48
"ANA","20052",22,3,1.81,18,1,0.64,41
"PHI","20052",18,1,0.64,22,3,1.81,41
"PIT","20053",16,2,0.89,34,2,1.99,42
"S.J","20053",34,2,1.99,16,2,0.89,42
"ARI","20054",35,1,1.62,50,4,3.51,51
"MTL","20054",50,4,3.51,35,1,1.62,51
"COL","20055",24,4,1.31,28,0,1.23,45
"T.B","20055",28,0,1.23,24,4,1.31,45
"FLA","20056",29,1,1.29,33,4,2.18,49
"WSH","20056",33,4,2.18,29,1,1.29,49
"MIN","20057",31,3,2.03,29,1,1.44,45
"TOR","20057",29,1,1.44,31,3,2.03,45
"DAL","20058",24,1,1.32,44,3,2.3,41
"L.A","20058",44,3,2.3,24,1,1.32,41
"CAR","20059",27,2,2.11,26,2,1.51,34
"CGY","20059",26,2,1.51,27,2,2.11,34
"EDM","20060",29,2,2.08,35,1,1.73,47
"STL","20060",35,1,1.73,29,2,2.08,47
"BUF","20061",29,1,2.93,19,1,1.29,46
"VAN","20061",19,1,1.29,29,1,2.93,46
"ARI","20062",32,2,1.39,32,2,2.51,45
"NYI","20062",32,2,2.51,32,2,1.39,45
"CBJ","20063",33,1,3.29,37,2,2.93,49
"CHI","20063",37,2,2.93,33,1,3.29,49
"DET","20064",44,3,2.57,28,0,1.71,46
"NSH","20064",28,0,1.71,44,3,2.57,46
"BOS","20065",24,1,1.1,34,3,1.65,43
"MTL","20065",34,3,1.65,24,1,1.1,43
"OTT","20066",26,1,1.38,35,2,1.96,49
"T.B","20066",35,2,1.96,26,1,1.38,49
"DET","20067",29,3,1.69,22,0,1.04,36
"S.J","20067",22,0,1.04,29,3,1.69,36
"COL","20068",27,1,1.31,37,4,2.16,45
"FLA","20068",37,4,2.16,27,1,1.31,45
"MIN","20069",29,1,1.58,30,2,1.55,47
"N.J","20069",30,2,1.55,29,1,1.58,47
"CAR","20070",37,2,2.71,28,4,1.25,46
"PHI","20070",28,4,1.25,37,2,2.71,46
"NYR","20071",29,2,1.93,32,2,1.65,50
"WSH","20071",32,2,1.65,29,2,1.93,50
"CHI","20072",35,2,2.34,35,3,2.26,50
"TOR","20072",35,3,2.26,35,2,2.34,50
"NSH","20073",30,4,2.01,44,1,2.02,48
"PIT","20073",44,1,2.02,30,4,2.01,48
"CBJ","20074",38,2,2.19,38,0,1.95,49
"DAL","20074",38,0,1.95,38,2,2.19,49
"CGY","20075",30,4,1.19,43,3,3.28,45
"STL","20075",43,3,3.28,30,4,1.19,45
"L.A","20076",41,1,1.67,25,1,1.37,50
"VAN","20076",25,1,1.37,41,1,1.67,50
"EDM","20077",25,2,1.65,26,0,1.64,46
"WPG","20077",26,0,1.64,25,2,1.65,46
"MIN","20078",39,3,2.57,37,5,1.73,51
"NYI","20078",37,5,1.73,39,3,2.57,51
"ARI","20079",35,2,1.42,36,2,2.76,54
"NYR","20079",36,2,2.76,35,2,1.42,54
"ANA","20080",45,3,2.7,24,1,1.12,50
"VAN","20080",24,1,1.12,45,3,2.7,50
"MTL","20081",27,1,1.52,34,1,1.48,50
"PHI","20081",34,1,1.48,27,1,1.52,50
"CGY","20082",24,0,1.18,29,1,1.55,52
"CHI","20082",29,1,1.55,24,0,1.18,52
"BOS","20083",16,0,0.43,12,2,0.97,48
"MIN","20083",12,2,0.97,16,0,0.43,48
"ARI","20084",15,2,0.66,14,1,0.56,51
"N.J","20084",14,1,0.56,15,2,0.66,51
"BUF","20085",15,1,0.55,27,0,1.09,55
"PHI","20085",27,0,1.09,15,1,0.55,55
"FLA","20086",12,1,0.53,11,2,0.48,51
"PIT","20086",11,2,0.48,12,1,0.53,51
"T.B","20087",11,3,0.96,29,2,1.05,47
"TOR","20087",29,2,1.05,11,3,0.96,47
"CAR","20088",18,2,0.62,13,2,0.49,47
"DET","20088",13,2,0.49,18,2,0.62,47
"CGY","20089",19,1,1.25,23,0,0.73,49
"STL","20089",23,0,0.73,19,1,1.25,49
"DAL","20090",17,2,1.11,32,1,1.63,43
"WPG","20090",32,1,1.63,17,2,1.11,43
"OTT","20091",35,2,1.66,32,0,1.56,59
"VAN","20091",32,0,1.56,35,2,1.66,59
"CBJ","20092",30,1,1.2,44,3,2.26,59
"L.A","20092",44,3,2.26,30,1,1.2,59
"ANA","20093",18,1,0.96,26,1,1.46,44
"S.J","20093",26,1,1.46,18,1,0.96,44
"MTL","20094",38,2,2.29,28,1,1.08,58
"NYI","20094",28,1,1.08,38,2,2.29,58
"BOS","20095",32,2,1.88,23,3,1.61,46
"NYR","20095",23,3,1.61,32,2,1.88,46
"EDM","20096",35,3,2.19,35,1,2.04,45
"WSH","20096",35,1,2.04,35,3,2.19,45
"ANA","20097",27,1,1.34,35,0,1.39,46
"NSH","20097",35,0,1.39,27,1,1.34,46
"BUF","20098",43,0,2.5,24,3,1.1,51
"MIN","20098",24,3,1.1,43,0,2.5,51
"ARI","20099",23,4,1.73,35,2,2.06,39
"PHI","20099",35,2,2.06,23,4,1.73,39
"NYI","20100",26,1,1.82,47,2,2.96,46
"PIT","20100",47,2,2.96,26,1,1.82,46
"FLA","20101",38,1,2.03,39,3,2.42,49
"TOR","20101",39,3,2.42,38,1,2.03,49
"MTL","20102",29,1,1.1,37,1,1.16,49
"T.B","20102",37,1,1.16,29,1,1.1,49
"DET","20103",24,0,1.24,29,1,1.56,47
"STL","20103",29,1,1.56,24,0,1.24,47
"DAL","20104",29,0,1.96,26,2,1.51,37
"WPG","20104",26,2,1.51,29,0,1.96,37
"L.A","20105",44,2,2.87,35,1,1.74,52
"NSH","20105",35,1,1.74,44,2,2.87,52
"CBJ","20106",27,1,1.51,37,0,2.12,49
"S.J","20106",37,0,2.12,27,1,1.51,49
"CHI","20107",29,1,1.7,30,1,1.67,45
"N.J","20107",30,1,1.67,29,1,1.7,45
"CAR","20108",28,2,1.08,35,1,1.72,55
"NYR","20108",35,1,1.72,28,2,1.08,55
"COL","20109",38,0,1.7,17,1,1.03,45
"WPG","20109",17,1,1.03,38,0,1.7,45
"CGY","20110",28,5,1.73,34,0,1.62,50
"OTT","20110",34,0,1.62,28,5,1.73,50
"EDM","20111",27,1,1.79,31,0,1.82,54
"VAN","20111",31,0,1.82,27,1,1.79,54
"ANA","20112",41,0,2.25,37,3,2.61,41
"CBJ","20112",37,3,2.61,41,0,2.25,41
"BUF","20113",21,1,1.02,38,0,1.51,46
"FLA","20113",38,0,1.51,21,1,1.02,46
"MTL","20114",30,1,1.37,32,0,1.34,46
"TOR","20114",32,0,1.34,30,1,1.37,46
"BOS","20115",37,1,1.62,25,0,1.42,46
"DET","20115",25,0,1.42,37,1,1.62,46
"N.J","20116",25,3,1.58,33,1,1.95,45
"T.B","20116",33,1,1.95,25,3,1.58,45
"PHI","20117",50,2,2.38,32,4,2.02,50
"PIT","20117",32,4,2.02,50,2,2.38,50
"L.A","20118",23,0,0.61,27,1,1.25,41
"STL","20118",27,1,1.25,23,0,0.61,41
"DAL","20119",37,0,1.71,19,2,1.65,50
"MIN","20119",19,2,1.65,37,0,1.71,50
"ARI","20120",26,2,1.47,37,2,1.89,45
"COL","20120",37,2,1.89,26,2,1.47,45
"VAN","20121",28,2,1.65,39,3,3.42,51
"WSH","20121",39,3,3.42,28,2,1.65,51
"NSH","20122",41,1,2.84,36,2,1.85,54
"S.J","20122",36,2,1.85,41,1,2.84,54
"BUF","20123",29,3,1.85,32,1,1.14,46
"WPG","20123",32,1,1.14,29,3,1.85,46
"DET","20124",34,0,1.42,20,3,1.41,42
"FLA","20124",20,3,1.41,34,0,1.42,42
"CAR","20125",40,2,2.19,38,2,1.63,52
"PHI","20125",38,2,1.63,40,2,2.19,52
"NYI","20126",45,4,3.24,51,0,2.96,50
"TOR","20126",51,0,2.96,45,4,3.24,50
"NYR","20127",44,6,3.21,39,0,1.95,45
"T.B","20127",39,0,1.95,44,6,3.21,45
"CHI","20128",30,1,1.47,37,0,1.73,44
"L.A","20128",37,0,1.73,30,1,1.47,44
"EDM","20129",34,0,1.18,26,1,1.25,45
"OTT","20129",26,1,1.25,34,0,1.18,45
"CGY","20130",29,1,1.43,33,1,1.7,52
"WSH","20130",33,1,1.7,29,1,1.43,52
"NYI","20131",24,1,1.43,22,3,1.74,39
"T.B","20131",22,3,1.74,24,1,1.43,39
"NYR","20132",28,3,2.38,40,0,2.08,48
"STL","20132",40,0,2.08,28,3,2.38,48
"CBJ","20133",36,2,2,44,2,2.68,49
"DAL","20133",44,2,2.68,36,2,2,49
"EDM","20134",55,2,2.75,37,3,3.26,54
"TOR","20134",37,3,3.26,55,2,2.75,54
"CAR","20135",45,1,2.02,37,2,1.23,55
"OTT","20135",37,2,1.23,45,1,2.02,55
"BOS","20136",23,0,1.11,36,1,1.44,38
"FLA","20136",36,1,1.44,23,0,1.11,38
"BUF","20137",29,2,1.55,40,0,1.66,55
"MIN","20137",40,0,1.66,29,2,1.55,55
"WPG","20138",45,2,2.55,26,3,1.59,48
"WSH","20138",26,3,1.59,45,2,2.55,48
"CGY","20139",33,0,1.69,25,3,1.22,44
"CHI","20139",25,3,1.22,33,0,1.69,44
"COL","20140",26,1,1.37,31,4,1.67,42
"NSH","20140",31,4,1.67,26,1,1.37,42
"ARI","20141",42,3,2.15,42,1,2.29,47
"S.J","20141",42,1,2.29,42,3,2.15,47
"ANA","20142",22,2,1.14,38,0,1.92,52
"L.A","20142",38,0,1.92,22,2,1.14,52
"MTL","20143",23,2,1.79,44,0,2.77,44
"VAN","20143",44,0,2.77,23,2,1.79,44
"DET","20144",34,3,1.53,45,3,2.58,57
"PHI","20144",45,3,2.58,34,3,1.53,57
"ANA","20145",34,0,1.6,36,4,2.47,51
"PIT","20145",36,4,2.47,34,0,1.6,51
"BUF","20146",45,1,3.17,35,2,1.53,53
"TOR","20146",35,2,1.53,45,1,3.17,53
"NYI","20147",24,1,1,42,1,2.21,50
"PHI","20147",42,1,2.21,24,1,1,50
"EDM","20148",25,2,1.07,34,4,2.57,47
"NYR","20148",34,4,2.57,25,2,1.07,47
"WPG","20149",36,2,2.13,30,3,2.5,50
"WSH","20149",30,3,2.5,36,2,2.13,50
"OTT","20150",29,1,1.63,32,0,1.71,47
"VAN","20150",32,0,1.71,29,1,1.63,47
"BOS","20151",28,2,1.25,27,1,1.34,51
"T.B","20151",27,1,1.34,28,2,1.25,51
"FLA","20152",36,2,2.26,35,2,1.66,51
"N.J","20152",35,2,1.66,36,2,2.26,51
"CHI","20153",20,4,1.43,38,0,1.88,49
"COL","20153",38,0,1.88,20,4,1.43,49
"DAL","20154",28,3,1.4,37,2,1.81,50
"STL","20154",37,2,1.81,28,3,1.4,50
"ARI","20155",32,2,1.34,32,1,1.65,44
"NSH","20155",32,1,1.65,32,2,1.34,44
"L.A","20156",32,3,1.35,31,2,1.51,50
"PIT","20156",31,2,1.51,32,3,1.35,50
"CGY","20157",23,3,1.27,29,1,2.27,44
"S.J","20157",29,1,2.27,23,3,1.27,44
"CBJ","20158",37,6,2.17,37,0,1.55,50
"MTL","20158",37,0,1.55,37,6,2.17,50
"DET","20159",30,3,2.03,38,4,1.61,53
"WPG","20159",38,4,1.61,30,3,2.03,53
"ANA","20160",41,4,2.84,28,1,1.27,54
"ARI","20160",28,1,1.27,41,4,2.84,54
"COL","20161",32,0,1.16,31,0,1.03,47
"MIN","20161",31,0,1.03,32,0,1.16,47
"BOS","20162",41,2,2.48,21,2,1.17,49
"NYR","20162",21,2,1.17,41,2,2.48,49
"TOR","20163",41,5,4.52,33,3,1.86,46
"VAN","20163",33,3,1.86,41,5,4.52,46
"MTL","20164",21,4,1.42,33,2,1.62,45
"PHI","20164",33,2,1.62,21,4,1.42,45
"BUF","20165",41,2,1.72,31,0,1.65,50
"OTT","20165",31,0,1.65,41,2,1.72,50
"N.J","20166",41,1,2.41,35,3,1.49,44
"T.B","20166",35,3,1.49,41,1,2.41,44
"EDM","20167",35,1,2.16,34,3,2.19,53
"NYI","20167",34,3,2.19,35,1,2.16,53
"FLA","20168",34,1,1.17,29,3,1.5,49
"WSH","20168",29,3,1.5,34,1,1.17,49
"CBJ","20169",21,1,1.43,34,2,1.91,48
"STL","20169",34,2,1.91,21,1,1.43,48
"CAR","20170",34,1,1.46,34,2,2.25,54
"NSH","20170",34,2,2.25,34,1,1.46,54
"CHI","20171",33,2,1.9,40,2,2.32,44
"DAL","20171",40,2,2.32,33,2,1.9,44
"CGY","20172",35,0,1.57,41,5,2.06,47
"L.A","20172",41,5,2.06,35,0,1.57,47
"PIT","20173",25,4,1.54,30,0,1.76,47
"S.J","20173",30,0,1.76,25,4,1.54,47
"DET","20174",24,0,0.99,34,1,2.07,53
"EDM","20174",34,1,2.07,24,0,0.99,53
"COL","20175",20,1,1.21,25,4,1.62,39
"STL","20175",25,4,1.62,20,1,1.21,39
"CAR","20176",38,1,1.88,25,3,1.24,45
"N.J","20176",25,3,1.24,38,1,1.88,45
"NYR","20177",25,4,1.36,30,2,2.19,54
"WPG","20177",30,2,2.19,25,4,1.36,54
"CHI","20178",40,4,2.71,27,0,1.32,52
"DAL","20178",27,0,1.32,40,4,2.71,52
"ANA","20179",24,2,1.38,33,1,1.16,53
"CGY","20179",33,1,1.16,24,2,1.38,53
"BOS","20180",29,1,1.55,37,0,1.52,41
"BUF","20180",37,0,1.52,29,1,1.55,41
"NYI","20181",39,4,2.39,35,1,1.86,50
"VAN","20181",35,1,1.86,39,4,2.39,50
"FLA","20182",33,1,1.47,49,1,2.41,51
"T.B","20182",49,1,2.41,33,1,1.47,51
"CAR","20183",39,1,2.44,47,2,3.11,57
"N.J","20183",47,2,3.11,39,1,2.44,57
"NYR","20184",26,2,1.68,23,4,1.31,45
"VAN","20184",23,4,1.31,26,2,1.68,45
"DET","20185",39,2,2.2,36,1,2.4,56
"PHI","20185",36,1,2.4,39,2,2.2,56
"EDM","20186",28,3,1.77,33,3,1.74,50
"PIT","20186",33,3,1.74,28,3,1.77,50
"S.J","20187",27,2,1.42,30,0,1.78,48
"WSH","20187",30,0,1.78,27,2,1.42,48
"L.A","20188",38,7,2.09,27,0,1.29,49
"TOR","20188",27,0,1.29,38,7,2.09,49
"BOS","20189",45,1,1.91,31,2,1.25,52
"MTL","20189",31,2,1.25,45,1,1.91,52
"NSH","20190",37,2,2.34,35,1,1.74,51
"OTT","20190",35,1,1.74,37,2,2.34,51
"DAL","20191",30,0,1.14,23,4,1.48,45
"WPG","20191",23,4,1.48,30,0,1.14,45
"ARI","20192",27,3,1.22,32,1,0.98,52
"COL","20192",32,1,0.98,27,3,1.22,52
"ANA","20193",28,2,1.45,20,3,1.32,47
"CBJ","20193",20,3,1.32,28,2,1.45,47
"BUF","20194",36,1,2.49,31,1,1.02,56
"OTT","20194",31,1,1.02,36,1,2.49,56
"CHI","20195",26,2,1.52,30,1,1.98,44
"STL","20195",30,1,1.98,26,2,1.52,44
"BOS","20196",37,5,2.16,27,2,1.13,49
"CBJ","20196",27,2,1.13,37,5,2.16,49
"MIN","20197",41,2,2.24,39,0,1.63,49
"PIT","20197",39,0,1.63,41,2,2.24,49
"ANA","20198",25,3,2.01,33,2,1.51,48
"CAR","20198",33,2,1.51,25,3,2.01,48
"L.A","20199",22,0,0.92,30,3,1.54,48
"MTL","20199",30,3,1.54,22,0,0.92,48
"DET","20200",27,3,1.74,36,1,1.72,48
"VAN","20200",36,1,1.72,27,3,1.74,48
"NYI","20201",36,1,1.66,23,2,1.08,47
"T.B","20201",23,2,1.08,36,1,1.66,47
"FLA","20202",30,2,1.95,32,3,2.18,53
"S.J","20202",32,3,2.18,30,2,1.95,53
"NSH","20203",36,3,1.79,35,1,1.51,46
"STL","20203",35,1,1.51,36,3,1.79,46
"CGY","20204",29,2,2.36,24,2,1.53,50
"DAL","20204",24,2,1.53,29,2,2.36,50
"ARI","20205",31,1,1.32,46,3,2.74,53
"WPG","20205",46,3,2.74,31,1,1.32,53
"BUF","20206",31,0,1.38,33,1,1.48,48
"N.J","20206",33,1,1.48,31,0,1.38,48
"PHI","20207",40,1,1.59,31,3,2.81,50
"TOR","20207",31,3,2.81,40,1,1.59,50
"L.A","20208",35,1,1.08,40,2,2.27,49
"OTT","20208",40,2,2.27,35,1,1.08,49
"CHI","20209",37,0,2.53,34,2,1.89,57
"WSH","20209",34,2,1.89,37,0,2.53,57
"COL","20210",30,2,1.29,11,1,0.63,43
"WPG","20210",11,1,0.63,30,2,1.29,43
"DAL","20211",27,2,2.63,37,2,3.04,47
"EDM","20211",37,2,3.04,27,2,2.63,47
"DET","20212",19,0,0.84,47,3,2.91,46
"MTL","20212",47,3,2.91,19,0,0.84,46
"S.J","20213",25,2,1.22,32,1,1.61,52
"T.B","20213",32,1,1.61,25,2,1.22,52
"FLA","20214",40,2,2.59,16,1,0.86,44
"NYI","20214",16,1,0.86,40,2,2.59,44
"BUF","20215",26,2,1.14,28,4,1.4,52
"N.J","20215",28,4,1.4,26,2,1.14,52
"MIN","20216",32,2,1.82,35,2,0.95,50
"PHI","20216",35,2,0.95,32,2,1.82,50
"PIT","20217",53,3,3.66,43,1,1.77,51
"TOR","20217",43,1,1.77,53,3,3.66,51
"CAR","20218",36,3,2.75,30,1,1.22,44
"WSH","20218",30,1,1.22,36,3,2.75,44
"CBJ","20219",31,7,2.21,36,0,1.86,51
"STL","20219",36,0,1.86,31,7,2.21,51
"ANA","20220",24,0,1.57,31,3,1.79,41
"NSH","20220",31,3,1.79,24,0,1.57,41
"ARI","20221",41,0,1.45,43,2,2.29,55
"BOS","20221",43,2,2.29,41,0,1.45,55
"CGY","20222",38,0,2.17,30,4,1.38,50
"NYR","20222",30,4,1.38,38,0,2.17,50
"L.A","20223",27,2,0.93,28,0,1.54,44
"WPG","20223",28,0,1.54,27,2,0.93,44
"DAL","20224",25,4,1.87,31,3,1.8,50
"VAN","20224",31,3,1.8,25,4,1.87,50
"MIN","20225",41,1,2.31,39,1,1.68,49
"OTT","20225",39,1,1.68,41,1,2.31,49
"CHI","20226",40,3,2.21,20,1,0.74,51
"MTL","20226",20,1,0.74,40,3,2.21,51
"BOS","20227",44,1,1.74,27,0,0.82,53
"COL","20227",27,0,0.82,44,1,1.74,53
"EDM","20228",45,1,2.99,27,2,2.87,54
"NYR","20228",27,2,2.87,45,1,2.99,54
"NYI","20229",31,0,1.88,22,4,1.4,42
"T.B","20229",22,4,1.4,31,0,1.88,42
"OTT","20230",37,2,2.15,37,2,2.42,51
"PHI","20230",37,2,2.42,37,2,2.15,51
"CAR","20231",42,1,3.2,28,0,1.51,54
"S.J","20231",28,0,1.51,42,1,3.2,54
"CBJ","20232",36,2,2.35,28,1,1.3,51
"WSH","20232",28,1,1.3,36,2,2.35,51
"NSH","20233",53,2,2.74,47,6,3.15,58
"TOR","20233",47,6,3.15,53,2,2.74,58
"FLA","20234",29,4,2.21,32,2,1.99,50
"MTL","20234",32,2,1.99,29,4,2.21,50
"DET","20235",29,1,1.41,26,3,1.25,47
"T.B","20235",26,3,1.25,29,1,1.41,47
"BUF","20236",30,0,1.96,37,2,2.13,53
"STL","20236",37,2,2.13,30,0,1.96,53
"CGY","20237",21,0,0.42,35,0,1.89,43
"MIN","20237",35,0,1.89,21,0,0.42,43
"CHI","20238",33,0,1.16,28,4,1.7,53
"WPG","20238",28,4,1.7,33,0,1.16,53
"DAL","20239",34,1,1.73,43,2,2.11,53
"N.J","20239",43,2,2.11,34,1,1.73,53
"COL","20240",27,3,1.7,28,0,1.03,45
"L.A","20240",28,0,1.03,27,3,1.7,45
"NYR","20241",26,5,1.71,40,2,2.1,48
"VAN","20241",40,2,2.1,26,5,1.71,48
"ANA","20242",24,3,1.59,42,1,2.42,47
"EDM","20242",42,1,2.42,24,3,1.59,47
"PIT","20243",31,1,2.94,34,4,2.49,41
"WSH","20243",34,4,2.49,31,1,2.94,41
"ARI","20244",26,1,1.15,33,2,1.97,49
"CGY","20244",33,2,1.97,26,1,1.15,49
"BUF","20245",27,0,1.39,34,2,1.25,41
"T.B","20245",34,2,1.25,27,0,1.39,41
"PHI","20246",28,4,1.31,43,2,2.43,54
"WPG","20246",43,2,2.43,28,4,1.31,54
"FLA","20247",23,1,1,34,6,2.75,44
"TOR","20247",34,6,2.75,23,1,1,44
"NSH","20248",45,5,2.62,33,0,1.46,44
"OTT","20248",33,0,1.46,45,5,2.62,44
"S.J","20249",26,2,1.44,26,2,1.43,40
"STL","20249",26,2,1.43,26,2,1.44,40
"BOS","20250",27,0,1.14,41,1,1.29,48
"MIN","20250",41,1,1.29,27,0,1.14,48
"COL","20251",39,1,2.65,22,1,1.08,47
"DAL","20251",22,1,1.08,39,1,2.65,47
"ARI","20252",37,1,1.65,47,1,1.9,56
"VAN","20252",47,1,1.9,37,1,1.65,56
"ANA","20253",29,3,2.41,40,2,2.07,48
"N.J","20253",40,2,2.07,29,3,2.41,48
"EDM","20254",34,2,1.62,27,3,1.8,52
"L.A","20254",27,3,1.8,34,2,1.62,52
"NYI","20255",23,1,1.64,43,2,2.8,48
"PIT","20255",43,2,2.8,23,1,1.64,48
"DET","20256",26,0,1.01,37,1,1.55,48
"WSH","20256",37,1,1.55,26,0,1.01,48
"CBJ","20257",32,2,1.49,32,2,1.81,49
"NYR","20257",32,2,1.81,32,2,1.49,49
"CAR","20258",29,3,1.68,45,2,2.68,54
"MTL","20258",45,2,2.68,29,3,1.68,54
"CGY","20259",33,2,2.06,34,2,2.28,49
"CHI","20259",34,2,2.28,33,2,2.06,49
"PHI","20260",35,0,1.79,18,2,1.48,46
"T.B","20260",18,2,1.48,35,0,1.79,46
"L.A","20261",32,3,2.52,24,1,1.83,52
"N.J","20261",24,1,1.83,32,3,2.52,52
"BOS","20262",37,3,1.99,14,1,0.73,45
"WPG","20262",14,1,0.73,37,3,1.99,45
"BUF","20263",30,1,1.74,55,0,2.83,53
"PIT","20263",55,0,2.83,30,1,1.74,53
"MTL","20264",30,1,1.7,27,0,1.13,40
"TOR","20264",27,0,1.13,30,1,1.7,40
"FLA","20265",32,4,1.77,47,1,2.84,56
"OTT","20265",47,1,2.84,32,4,1.77,56
"DAL","20266",39,0,1.95,40,5,1.97,46
"EDM","20266",40,5,1.97,39,0,1.95,46
"NSH","20267",27,0,1.35,35,3,2.26,46
"STL","20267",35,3,2.26,27,0,1.35,46
"COL","20268",42,2,1.76,42,1,1.58,47
"MIN","20268",42,1,1.58,42,2,1.76,47
"ARI","20269",24,2,1.66,60,2,3.73,50
