"Team","Game.ID","CF","GF","xGF","CA","GA","xGA","TOI"
"OTT","20001",35,5,1.58,46,4,1.93,48
"TOR","20001",46,4,1.93,35,5,1.58,48
"CHI","20002",15,1,0.98,26,0,1.68,41
"STL","20002",26,0,1.68,15,1,0.98,41
"CGY","20003",36,1,1.5,27,4,1.92,42
"EDM","20003",27,4,1.92,36,1,1.5,42
"L.A","20004",34,0,1.49,45,1,3.07,53
"S.J","20004",45,1,3.07,34,0,1.49,53
"BUF","20005",29,0,1.23,30,4,1.88,46
"MTL","20005",30,4,1.88,29,0,1.23,46
"NYI","20006",35,3,2.64,33,3,2.52,44
"NYR","20006",33,3,2.52,35,3,2.64,44
"PIT","20007",31,1,2.57,49,2,2.88,57
"WSH","20007",49,2,2.88,31,1,2.57,57
"BOS","20008",34,5,3.27,29,2,2.07,49
"CBJ","20008",29,2,2.07,34,5,3.27,49
"DET","20009",30,3,2.39,39,2,1.92,49
"T.B","20009",39,2,1.92,30,3,2.39,49
"FLA","20010",42,2,2.49,32,1,1.21,51
"N.J","20010",32,1,1.21,42,2,2.49,51
"MIN","20011",25,2,1.52,34,3,1.81,40
"STL","20011",34,3,1.81,25,2,1.52,40
"CAR","20012",35,2,2.16,26,2,2.02,47
"WPG","20012",26,2,2.02,35,2,2.16,47
"ANA","20013",32,1,1.88,29,4,1.81,37
"DAL","20013",29,4,1.81,32,1,1.88,37
"CHI","20014",28,2,1.58,29,0,1.57,47
"NSH","20014",29,0,1.57,28,2,1.58,47
"CGY","20015",39,3,2.25,24,1,1.94,42
"EDM","20015",24,1,1.94,39,3,2.25,42
"L.A","20016",32,2,1.64,31,4,2.4,49
"PHI","20016",31,4,2.4,32,2,1.64,49
"BOS","20017",33,0,1.26,27,4,2.36,43
"TOR","20017",27,4,2.36,33,0,1.26,43
"MTL","20018",24,2,0.79,43,3,3.91,50
"OTT","20018",43,3,3.91,24,2,0.79,50
"N.J","20019",29,2,1.23,36,3,1.75,45
"T.B","20019",36,3,1.75,29,2,1.23,45
"DET","20020",27,1,1.05,44,3,2.4,50
"FLA","20020",44,3,2.4,27,1,1.05,50
"ANA","20021",40,1,2.33,39,2,2.21,51
