Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Jonathan Huberdeau
3,Gabriel Landeskog
4,Ryan Murphy
5,Mika Zibanejad
6,Ryan Strome
7,Sean Couturier
8,Adam Larsson
9,Nathan Beaulieu
10,Jonas Brodin
11,Sven Baertschi
12,Dougie Hamilton
13,Jamie Oleksiak
14,Matt Puempel
15,Zack Phillips
16,Mark Scheifele
17,Nikita Kucherov
18,Phillip Danault
19,Joel Armia
20,Tomas Jurco
21,Brandon Saad
22,Oscar Klefbom
23,Vladislav Namestnikov
24,Rickard Rakell
25,Joe Morrow
26,Connor Murphy
27,John Gibson
28,Stuart Percy
29,Ty Rattie
30,Mark McNeill
