Source Rank,Full Name
1,Tyler Seguin
2,Taylor Hall
3,Cam Fowler
4,Brandon Gormley
5,Brett Connolly
6,Kirill Kabanov
7,John McFarland
8,Vladimir Tarasenko
9,Riley Sheahan
10,Jack Campbell
