Source Rank,Full Name
1,Seth Jones
2,Jonathan Drouin
3,Nathan MacKinnon
4,Aleksander Barkov
5,Valeri Nichushkin
6,Sean Monahan
7,Zachary Fucale
8,Darnell Nurse
9,Elias Lindholm
10,Max Domi
11,Nikita Zadorov
12,Alexander Wennberg
13,Samuel Morin
14,Hunter Shinkaruk
15,Josh Morrissey
16,Anthony Mantha
17,Nic Petan
18,Morgan Klimchuk
19,Bo Horvat
20,Adam Erne
21,Frederik Gauthier
22,Laurent Dauphin
23,Artturi Lehkonen
24,Madison Bowey
25,Rasmus Ristolainen
26,Ryan Hartman
27,Kerby Rychel
28,Jason Dickinson
29,Emile Poirier
30,Ryan Pulock
