Source Rank,Full Name
1,Sam Reinhart
2,Aaron Ekblad
3,Michael Dal Colle
4,Sam Bennett
5,William Nylander
6,Leon Draisaitl
7,Jake Virtanen
8,Robby Fabbri
9,Brendan Perlini
10,Nicholas Ritchie
11,Nikolaj Ehlers
12,Haydn Fleury
13,Kasperi Kapanen
14,Alex Tuch
15,Dylan Larkin
16,Sonny Milano
17,Jared McCann
18,Josh Ho-Sang
19,Ivan Barbashev
20,Kevin Fiala
21,Jakub Vrana
22,Adrian Kempe
23,Roland McKeown
24,Nick Schmaltz
25,Ryan MacInnis
26,Conner Bleackley
27,Nikita Scherbak
28,Nikolay Goldobin
29,Vladislav Kamenev
30,Travis Sanheim
