Source Rank,Full Name
1,Taylor Hall
2,Tyler Seguin
3,Brandon Gormley
4,Vladimir Tarasenko
5,Cam Fowler
6,Nino Niederreiter
7,Erik Gudbranson
8,Ryan Johansen
9,Jeff Skinner
10,Derek Forbort
11,Jon Merrill
12,Austin Watson
13,Brett Connolly
14,Alexander Burmistrov
15,Mikael Granlund
16,Quinton Howden
17,Mark Pysyk
18,Emerson Etem
19,Evgeny Kuznetsov
20,Tyler Pitlick
21,Nick Bjugstad
22,Riley Sheahan
23,Jaden Schwartz
24,Stanislav Galiev
25,Jarred Tinordi
26,Brock Nelson
27,Ludvig Rensfeldt
28,Charlie Coyle
29,Johan Larsson
30,Jason Zucker
