Source Rank,Full Name
1,Nathan MacKinnon
2,Seth Jones
3,Jonathan Drouin
4,Valeri Nichushkin
5,Aleksander Barkov
6,Darnell Nurse
7,Elias Lindholm
8,Nikita Zadorov
9,Sean Monahan
10,Bo Horvat
11,Rasmus Ristolainen
12,Curtis Lazar
13,Hunter Shinkaruk
14,Ryan Pulock
15,Alexander Wennberg
16,Andre Burakovsky
17,Steven Santini
18,Frederik Gauthier
19,Valentin Zykov
20,Kerby Rychel
21,Josh Morrissey
22,Madison Bowey
23,Anthony Mantha
24,J.T. Compher
25,Max Domi
26,Nic Petan
27,Dillon Heatherington
28,Michael McCarron
29,Chris Bigras
30,Samuel Morin
