Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Adam Larsson
3,Jonathan Huberdeau
4,Sean Couturier
5,Gabriel Landeskog
6,Dougie Hamilton
7,Mika Zibanejad
8,Ryan Murphy
9,Ryan Strome
10,Oscar Klefbom
11,Sven Baertschi
12,Duncan Siemens
13,Joel Armia
14,Nathan Beaulieu
15,Rocco Grimaldi
16,Jamie Oleksiak
17,J.T. Miller
18,Mark Scheifele
19,Connor Murphy
20,Jonas Brodin
21,Mark McNeill
22,Nicklas Jensen
23,Alexander Khokhlachev
24,Brandon Saad
25,Tomas Jurco
26,Victor Rask
27,David Musil
28,Ty Rattie
29,Matt Puempel
30,Brett Ritchie
