Source Rank,Full Name
1,Taylor Hall
2,Tyler Seguin
3,Erik Gudbranson
4,Brandon Gormley
5,Cam Fowler
6,Ryan Johansen
7,Nino Niederreiter
8,Brett Connolly
9,Jack Campbell
10,Jeff Skinner
11,Derek Forbort
12,Alexander Burmistrov
13,Mikael Granlund
14,Austin Watson
15,Dylan McIlrath
16,Vladimir Tarasenko
17,Emerson Etem
18,Beau Bennett
19,Nick Bjugstad
20,Mark Pysyk
21,Riley Sheahan
22,Jon Merrill
23,Jarred Tinordi
24,Evgeny Kuznetsov
25,Tyler Pitlick
26,Quinton Howden
27,Tyler Toffoli
28,John McFarland
29,Jaden Schwartz
30,Justin Faulk
