Source Rank,Full Name
1,Nail Yakupov
2,Ryan Murray
3,Filip Forsberg
4,Griffin Reinhart
5,Alex Galchenyuk
6,Matt Dumba
7,Teuvo Teravainen
8,Morgan Rielly
9,Jacob Trouba
10,Olli Maatta
11,Radek Faksa
12,Mikhail Grigorenko
13,Zemgus Girgensons
14,Cody Ceci
15,Hampus Lindholm
16,Slater Koekkoek
17,Derrick Pouliot
18,Tom Wilson
19,Tomas Hertl
20,Brendan Gaunce
21,Matt Finn
22,Brady Skjei
23,Stefan Matteau
24,Andrei Vasilevskiy
25,Malcolm Subban
26,Michael Matheson
27,Sebastian Collberg
28,Scott Laughton
29,Tanner Pearson
30,Phillip Di Giuseppe
