Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Adam Larsson
3,Jonathan Huberdeau
4,Gabriel Landeskog
5,Sean Couturier
6,Dougie Hamilton
7,Ryan Strome
8,Ryan Murphy
9,Mika Zibanejad
10,Jonas Brodin
11,Nathan Beaulieu
12,Mark Scheifele
13,Duncan Siemens
14,Joel Armia
15,Tyler Biggs
16,Sven Baertschi
17,Jamie Oleksiak
18,J.T. Miller
19,Mark McNeill
20,Joe Morrow
21,Oscar Klefbom
22,Brandon Saad
23,Rocco Grimaldi
24,Nicklas Jensen
25,Ty Rattie
26,Boone Jenner
27,Matt Puempel
28,Zack Phillips
29,Tomas Jurco
30,Connor Murphy
