Source Rank,Full Name
1,Aaron Ekblad
2,Sam Bennett
3,William Nylander
4,Sam Reinhart
5,Nikolaj Ehlers
6,Kevin Fiala
7,Leon Draisaitl
8,Michael Dal Colle
9,Kasperi Kapanen
10,Haydn Fleury
11,Jake Virtanen
12,Sonny Milano
13,Jakub Vrana
14,Brendan Perlini
15,Robby Fabbri
16,David Pastrnak
17,Ivan Barbashev
18,Nick Ritchie
19,Jared McCann
20,Josh Ho-Sang
21,Alex Tuch
22,Adrian Kempe
23,Roland McKeown
24,Nikita Scherbak
25,Brayden Point
26,Dylan Larkin
27,Conner Bleackley
28,Nikolay Goldobin
29,Julius Honka
30,Nick Schmaltz
