Source Rank,Full Name
1,Connor McDavid
2,Jack Eichel
3,Mitch Marner
4,Dylan Strome
5,Noah Hanifin
6,Mathew Barzal
7,Travis Konecny
8,Zach Werenski
9,Evgeni Svechnikov
10,Lawson Crouse
11,Pavel Zacha
12,Mikko Rantanen
13,Kyle Connor
14,Ivan Provorov
15,Oliver Kylington
16,Jeremy Bracco
17,Daniel Sprong
18,Nick Merkley
19,Jeremy Roy
20,Erik Cernak
21,Anthony Beauvillier
22,Colin White
23,Mitchell Stephens
24,Jansen Harkins
25,Mitchell Vande Sompel
26,Timo Meier
27,Rasmus Andersson
28,Sebastian Aho
29,Jake DeBrusk
30,David Kase
