Source Rank,Full Name
1,Nail Yakupov
2,Mikhail Grigorenko
3,Alex Galchenyuk
4,Filip Forsberg
5,Teuvo Teravainen
6,Matt Dumba
7,Morgan Rielly
8,Ryan Murray
9,Pontus Aberg
10,Radek Faksa
11,Sebastian Collberg
12,Jacob Trouba
13,Cody Ceci
14,Zemgus Girgensons
15,Griffin Reinhart
16,Hampus Lindholm
17,Anton Slepyshev
18,Tomas Hertl
19,Matt Finn
20,Ludwig Bystrom
21,Olli Maatta
22,Nikolay Prokhorkin
23,Slater Koekkoek
24,Derrick Pouliot
25,Brendan Gaunce
26,Tim Bozon
27,Nicolas Kerdiles
28,Daniil Zharkov
29,Ville Pokka
30,Scott Laughton
