Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Sean Couturier
3,Ryan Strome
4,Jonathan Huberdeau
5,Adam Larsson
6,Ryan Murphy
7,Mika Zibanejad
8,Nathan Beaulieu
9,Mark McNeill
10,Rocco Grimaldi
11,Alexander Khokhlachev
12,Dougie Hamilton
13,Gabriel Landeskog
14,Joe Morrow
15,Joel Armia
16,Scott Mayfield
17,Jonas Brodin
18,Sven Baertschi
19,Nikita Kucherov
20,Dmitrij Jaskin
21,Ty Rattie
22,Brandon Saad
23,Vladislav Namestnikov
24,Zack Phillips
25,Nicklas Jensen
26,Michael St. Croix
27,Jamie Oleksiak
28,Phillip Danault
29,Mark Scheifele
30,David Musil
