Source Rank,Full Name
1,Taylor Hall
2,Tyler Seguin
3,Cam Fowler
4,Kirill Kabanov
5,Brandon Gormley
6,Vladimir Tarasenko
7,Brett Connolly
8,Mikael Granlund
9,Jon Merrill
10,Jeff Skinner
11,Erik Gudbranson
12,Derek Forbort
13,Nino Niederreiter
14,Mark Pysyk
15,Ryan Johansen
16,Austin Watson
17,Jaden Schwartz
18,Evgeny Kuznetsov
19,Nick Bjugstad
20,Alexander Burmistrov
21,Ludvig Rensfeldt
22,Emerson Etem
23,Tyler Pitlick
24,Jordan Weal
25,Tyler Toffoli
26,Jared Knight
27,John McFarland
28,Riley Sheahan
29,Charlie Coyle
30,Brock Nelson
